en,sd
About,بابت
Welcome,ڀلي ڪري آيا
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","شامل ٿيو سوين محققن جي چوڌاري
           دنيا جيڪي اوپن اسپيس ڪميونٽي جو حصو آهن
           تجزيو، حصيداري، پروسيسنگ، ۽ سڃاڻپ
           سندن رامان ۽ IR اسپيڪٽرا. اهي خدمتون مفت ۽ کليل ذريعو آهن اسان جي ڀائيوارن جي مهرباني:"
Quick Video Tutorial,تڪڙو وڊيو سبق
Instructions,هدايتون
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","مختصر ۾: ٽول استعمال ڪرڻ لاءِ csv، asp، jdx، spc، يا اسپا فائل اپلوڊ ڪريو فائل ٽئب تي.
                                  جيڪڏهن csv آهي، هڪ ڪالمن کي نالو ڏنو وڃي 'wavenumber' (1/cm جي يونٽن ۾) ۽ ٻيو نالو 'شدت'.
                                  توهان هڪ SG فلٽر استعمال ڪندي پنهنجي ڊيٽا کي هموار ڪري سگهو ٿا، iModPolyFit جي پولينوميل آرڊر کي استعمال ڪندي پنهنجي ڊيٽا کي بيس لائين درست ڪريو، ۽ ميچ لاءِ موج لينگٿ جي حد کي محدود ڪريو.
                                  نتيجو هڪ اندروني رامان يا FTIR اسپيڪٽرا لائبريري سان مقابلو ڪيو ويندو. مضبوط ترين 1000 ميچز سان گڏ توهان جي
                                  اپلوڊ ٿيل يا پروسيس ٿيل ڊيٽا هڪ انٽرويو پلاٽ ۽ ٽيبل ۾ پيش ڪيو ويندو. وڌيڪ تفصيل لاءِ ھيٺ ڏنل بٽڻ تي ڪلڪ ڪريو
                                  يا تفصيلي هدايتي وڊيو ڏسو."
Detailed Standard Operating Procedure,تفصيلي معياري آپريٽنگ طريقيڪار
Download Open Data,اوپن ڊيٽا ڊائون لوڊ ڪريو
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","ريفرنس اسپيڪٽرا کليل رسائي جي وسيلن مان حاصل ڪئي وئي
           آن لائين، پير صاحب جي نظرثاني ٿيل اشاعتون، ۽ ڪارپوريٽ عطيا. مستقبل ۾
           اسپيڪٽرا جيڪو ٽول تي اپلوڊ ڪيو ويو آهي ريفرنس ۾ شامل ڪيو ويندو
           لائبريري کي وڌيڪ بهتر بڻائڻ لاءِ."
Raman Reference Library,رامان ريفرنس لائبريري
FTIR Reference Library,FTIR ريفرنس لائبريري
Raman Reference Library Metadata,رامن ريفرنس لئبرري ميٽاداٽا
FTIR Reference Library Metadata,FTIR ريفرنس لائبريري ميٽا ڊيٽا
Contribute Spectra,اسپيڪٽرا جو حصو ڏيو
