en,si
About,ගැන
Welcome,සාදරයෙන් පිළිගනිමු
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","අවට සිටින සිය ගණනක් පර්යේෂකයන් හා එක්වන්න
           විසින් විවෘත විශේෂ ප්‍රජාවේ කොටසක් වන ලෝකය
           විශ්ලේෂණය, බෙදාගැනීම, සැකසීම සහ හඳුනා ගැනීම
           ඔවුන්ගේ රමන් සහ IR වර්ණාවලිය. අපගේ හවුල්කරුවන්ට ස්තූතිවන්ත වන පරිදි මෙම සේවාවන් නොමිලේ සහ විවෘත මූලාශ්‍ර වේ:"
Quick Video Tutorial,ඉක්මන් වීඩියෝ නිබන්ධනය
Instructions,උපදෙස්
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","කෙටියෙන්: මෙවලම භාවිතා කිරීමට csv, asp, jdx, spc, හෝ spa ගොනුවක් උඩුගත කිරීමේ ගොනු පටිත්ත වෙත උඩුගත කරන්න.
                                  csv නම්, එක් තීරුවක් 'තරංග අංකය' (1/cm ඒකක වලින්) සහ තවත් තීරුවක් 'තීව්‍රතාවය' ලෙස නම් කළ යුතුය.
                                  ඔබට SG ෆිල්ටරයක් භාවිතයෙන් ඔබේ දත්ත සුමට කළ හැක, iModPolyFit හි බහුපද අනුපිළිවෙල භාවිතයෙන් ඔබේ දත්ත මූලික වශයෙන් නිවැරදි කළ හැක, සහ ගැලපීම සඳහා තරංග ආයාම පරාසය සීමා කරන්න.
                                  ප්‍රතිඵලය අභ්‍යන්තර රමන් හෝ FTIR වර්ණාවලි පුස්තකාලයකට සංසන්දනය කරනු ඇත. ඔබගේ සමග ශක්තිමත්ම ගැලපීම් 1000
                                  උඩුගත කරන ලද හෝ සැකසූ දත්ත අන්තර්ක්‍රියාකාරී කුමන්ත්‍රණයක සහ වගුවක ඉදිරිපත් කෙරේ. වැඩි විස්තර සඳහා පහත බොත්තම ක්ලික් කරන්න
                                  හෝ සවිස්තරාත්මක උපදෙස් වීඩියෝව බලන්න."
Detailed Standard Operating Procedure,සවිස්තරාත්මක සම්මත මෙහෙයුම් ක්රියා පටිපාටිය
Download Open Data,විවෘත දත්ත බාගන්න
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","විමර්ශන වර්ණාවලිය විවෘත ප්‍රවේශ සම්පත් වලින් ලබා ගන්නා ලදී
           සබැඳිව, සම-සමාලෝචනය කළ ප්‍රකාශන සහ ආයතනික පරිත්‍යාග. අනාගතයේ දි
           මෙවලම වෙත උඩුගත කරන ලද වර්ණාවලි යොමුව වෙත ඇතුළත් කරනු ලැබේ
           පුස්තකාලය තවත් හොඳ කිරීමට."
Raman Reference Library,රාමන් විමර්ශන පුස්තකාලය
FTIR Reference Library,FTIR විමර්ශන පුස්තකාලය
Raman Reference Library Metadata,රාමන් යොමු පුස්තකාල පාරදත්ත
FTIR Reference Library Metadata,FTIR යොමු පුස්තකාල පාරදත්ත
Contribute Spectra,වර්ණාවලි දායකත්වය
