en,sk
About,O
Welcome,Vitajte
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Pridajte sa k stovkám výskumníkov z celého okolia
           svet, ktorí sú súčasťou komunity Open Specy
           analýzu, zdieľanie, spracovanie a identifikáciu
           ich Ramanove a IČ spektrá. Tieto služby sú bezplatné a open source vďaka našim partnerom:"
Quick Video Tutorial,Rýchly video návod
Instructions,Inštrukcie
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","V skratke: Ak chcete použiť tento nástroj, nahrajte súbor csv, asp, jdx, spc alebo spa na kartu nahrávania.
                                  Ak je csv, jeden stĺpec by mal mať názov „vlnové číslo“ (v jednotkách 1/cm) a druhý „intenzita“.
                                  Svoje údaje môžete vyhladiť pomocou filtra SG, opraviť základnú líniu pomocou polynomického poradia iModPolyFit a obmedziť rozsah vlnových dĺžok pre zhodu.
                                  Výsledok sa porovná s internou knižnicou Ramanových alebo FTIR spektier. Najsilnejších 1000 zápasov spolu s vašou
                                  nahrané alebo spracované údaje budú prezentované v interaktívnom grafe a tabuľke. Pre viac podrobností kliknite na tlačidlo nižšie
                                  alebo si pozrite podrobné inštruktážne video."
Detailed Standard Operating Procedure,Podrobný štandardný operačný postup
Download Open Data,Stiahnite si otvorené údaje
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referenčné spektrá boli získané zo zdrojov s otvoreným prístupom
           online, recenzované publikácie a firemné dary. V budúcnosti
           spektrá, ktoré sa nahrajú do nástroja, budú zahrnuté do referencie
           knižnice, aby to bolo ešte lepšie."
Raman Reference Library,Ramanova referenčná knižnica
FTIR Reference Library,Referenčná knižnica FTIR
Raman Reference Library Metadata,Metaúdaje Ramanovej referenčnej knižnice
FTIR Reference Library Metadata,Metadáta referenčnej knižnice FTIR
Contribute Spectra,Prispejte Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ak chcete zdieľať spektrá, nahrajte súbor na kartu nahrávania. Ak ste vybrali možnosť Zdieľať, kópia vašich spektier bude odoslaná komunite
           Dátový sklad na Open Science Framework. Ak chcete pridať ďalšie metadáta,
           vyplňte dostupné polia metadát a kliknite na -Zdieľať údaje-. The
           súbor spektra, ktorý ste nahrali spolu s vašimi odpoveďami, sa skopíruje
           do podpriečinka -S metaúdajmi- na nižšie uvedenom odkaze. Všetky zdieľané údaje sú uložené
           licencia Creative Commons Attribution License 4.0."
Community Data Warehouse,Komunitný dátový sklad
Tool Validation,Validácia nástroja
