en,sl
About,O
Welcome,Dobrodošli
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Pridružite se stotinam raziskovalcev iz okolice
           svetu, ki so del skupnosti Open Specy by
           analiziranje, skupno rabo, obdelavo in prepoznavanje
           njihovega Ramanskega in IR spektra. Te storitve so brezplačne in odprtokodne po zaslugi naših partnerjev:"
Quick Video Tutorial,Hitra video vadnica
Instructions,Navodila
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Na kratko: za uporabo orodja naložite datoteko csv, asp, jdx, spc ali spa na zavihek datoteke za nalaganje.
                                  Če je csv, je treba en stolpec poimenovati 'wavenumber' (v enotah 1/cm), drugega pa 'intensity'.
                                  Podatke lahko zgladite s filtrom SG, popravite osnovne podatke z uporabo polinomskega vrstnega reda iModPolyFit in omejite obseg valovnih dolžin za ujemanje.
                                  Rezultat bo primerjan z interno knjižnico spektrov Raman ali FTIR. Najmočnejših 1000 tekem skupaj z vašim
                                  naloženi ali obdelani podatki bodo predstavljeni v interaktivni skici in tabeli. Za več podrobnosti kliknite spodnji gumb
                                  ali si oglejte podroben video z navodili."
Detailed Standard Operating Procedure,Podroben standardni operativni postopek
Download Open Data,Prenesite odprte podatke
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referenčni spektri so bili pridobljeni iz virov odprtega dostopa
           spletne, strokovno ocenjene publikacije in donacije podjetij. V prihodnosti
           spektri, ki so naloženi v orodje, bodo vključeni v referenco
           knjižnico, da bo še boljša."
Raman Reference Library,Ramanova referenčna knjižnica
FTIR Reference Library,Referenčna knjižnica FTIR
Raman Reference Library Metadata,Metapodatki Ramanove referenčne knjižnice
FTIR Reference Library Metadata,Metapodatki referenčne knjižnice FTIR
Contribute Spectra,Prispevajte Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Če želite deliti spektre, naložite datoteko na zavihek za nalaganje datotek. Če ste izbrali Skupno rabo, bo kopija vaših spektrov poslana skupnosti
           Podatkovno skladišče v okviru Open Science Framework. Če želite dodati dodatne metapodatke,
           izpolnite razpoložljiva metapodatkovna polja in kliknite -Share Data-. The
           spectra datoteka, ki ste jo naložili skupaj z vašimi odgovori, bo kopirana
           v podmapo a -With Metadata- na spodnji povezavi. Hranijo se vsi skupni podatki
           licenco Creative Commons Attribution 4.0."
Community Data Warehouse,Podatkovno skladišče skupnosti
Tool Validation,Potrditev orodja
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Vsi parametri v tem orodju so testirani, da se to potrdi
           orodje deluje čim bolje in določi najboljšo privzeto vrednost
           parametre za uporabo. Naš trenutni postopek validacije vključuje popravke
           podvojeni vnosi v referenčnih knjižnicah, preverjanje spektrov v
           metapodatkov, ki niso v spektralni knjižnici, in zagotavljanje privzete vrednosti
           parametri zagotavljajo več kot 80 % natančnost v prvi tekmi."
Detailed Validation Procedure,Podroben postopek validacije
"Updates, Feature Requests, and Bug Reports","Posodobitve, zahteve za funkcije in poročila o napakah"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Spremljamo vse posodobitve z uporabo nadzora različic naše kode. Funkcije je mogoče zahtevati in poročati o napakah na GitHubu.
Stay up to date!,Ostanite na tekočem!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Sledite nam na Twitterju @OpenSpecy. Pošljite e-pošto na wincowger@gmail.com, da boste dodani na poštni seznam."
Citation,Citiranje
Useful Links,Uporabne povezave
Free FTIR Software: siMPle microplastic IR spectral identification software,Brezplačna programska oprema FTIR: preprosta mikroplastična IR spektralna programska oprema za identifikacijo
Free Spectroscopy Learning Academy from ThermoFisher,Brezplačna akademija za učenje spektroskopije podjetja ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Brezplačni učni vir optične mikroskopije z univerze Florida State
Free desktop application for spectral analysis and links to reference databases.,Brezplačna namizna aplikacija za spektralno analizo in povezave do referenčnih baz podatkov.
Terms And Conditions,Pogoji
Privacy Policy,Politika zasebnosti
Upload File,Naloži datoteko
"Upload, View, and Share Spectra","Naložite, si oglejte in delite Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Izberite datoteko .csv (zaželeno), .asp, .jdx, .spc, .spa ali .0"
Share Your Data?,Delite svoje podatke?
Share Help,Delite pomoč
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Če želite, delimo vaše naložene spektre in nastavitve s spektroskopsko skupnostjo.
           Privzeto bodo vsi podatki licencirani pod Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Naloženi spektri se bodo prikazali tukaj: https://osf.io/rjg3c"
Upload Help,Pomoč za nalaganje
