en,sm
About,E uiga i
Welcome,Afio mai
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Auai i le faitau selau o tagata suʻesuʻe mai le salafa
           le lalolagi o lo'o avea ma vaega o le Open Specy community e
           au'ili'ili, fa'asoa, fa'agaioiga, ma fa'ailoa
           latou Raman ma IR spectra. O nei au'aunaga e leai se totogi ma tatala fa'afetai fa'afetai ia matou pa'aga:"
Quick Video Tutorial,A'oa'oga Vitio vave
Instructions,Faatonuga
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","I le Faapuupuuga: Mo le faʻaogaina o le meafaigaluega faʻapipiʻi se faila csv, asp, jdx, spc, poʻo le spa i le faila faila faila.
                                  Afai csv, e tatau ona fa'aigoa le koluma e tasi 'numera galu' (i iunite o le 1/cm) ae ta'u le isi 'intensity'.
                                  E mafai ona e fa'alelei au fa'amatalaga e fa'aaoga ai le SG filter, fa'asa'o lau fa'amaumauga e fa'aaoga ai le polynomial order o le iModPolyFit, ma fa'atapula'aina le umi o galu mo le fetaui.
                                  Ole fa'ai'uga ole a fa'atusa ile Raman ile totonu po'o le FTIR spectra library. Le malosi 1000 fetaui ma lau
                                  o fa'amaumauga tu'uina atu po'o fa'agaioiina o le a tu'uina atu i se fa'afanua ma se laulau feso'ota'i. Mo nisi fa'amatalaga kiliki le ki lalo
                                  pe matamata i le vitio faʻamatalaga auiliili."
Detailed Standard Operating Procedure,Auiliiliga Tulaga Fa'atino Fa'atonu
Download Open Data,La'u Fa'amatalaga Tatala
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Fa'asinoala alaleo na maua mai punaoa avanoa avanoa
           luga ole laiga, lomiga a tupulaga, ma foai a kamupani. I le lumana'i
           spectra o loʻo tuʻuina atu i le meafaigaluega o le a tuʻufaʻatasia i le faʻamatalaga
           faletusi ina ia sili atu ona lelei."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Fesoasoani Spectra
