en,so
About,Ku saabsan
Welcome,Soo dhawoow
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ku biir boqollaal cilmi-baarayaal ah oo agagaarka ka socda
           aduunka kuwaas oo qayb ka ah bulshada Open Specy by
           falanqaynta, wadaagga, habaynta, iyo aqoonsiga
           muuqaalkooda Raman iyo IR. Adeegyadani waa lacag la'aan iyo il furan oo ay ku mahadsan yihiin la-hawlgalayaashayada:"
Quick Video Tutorial,Casharrada Fiidiyowga Degdegga ah
Instructions,Tilmaamaha
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Si Kooban: Si aad u isticmaasho aalada ku shub csv, asp, jdx, spc, ama spa file tab faylka rarka.
                                  Haddii csv, hal tiir waa in lagu magacaabaa 'wavenumber' (halbeegyada 1/cm) iyo mid kale oo lagu magacaabo 'xoojinta'.
                                  Waxaad sixi kartaa xogtaada adigoo isticmaalaya filter SG, saldhiga saldhiga u sax xogtaada adoo isticmaalaya nidaamka kala duwan ee iModPolyFit, oo xaddid dhererka hirarka ciyaarta.
                                  Natiijada waxa la barbar dhigi doonaa gudaha Raman ama FTIR spectra maktabadda. 1000 ka kulan ee ugu xoogan oo ay la socdaan kaaga
                                  xogta la soo galiyay ama la habeeyey ayaa lagu soo bandhigi doonaa goob iyo miis is dhexgal ah. Faahfaahin dheeri ah guji badhanka hoose
                                  ama daawo muuqaalka tilmaamaha oo faahfaahsan."
Detailed Standard Operating Procedure,Habka Hawlgelinta Heerka oo faahfaahsan
Download Open Data,Soo deji Xogta Furan
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Tixraacyada tixraaca waxaa laga soo xigtay ilaha gelitaanka furan
           online, daabacadaha dib loo eegay, iyo deeqaha shirkadda. Mustaqbalka
           spectra oo lagu dhejiyo qalabka ayaa lagu dari doonaa tixraaca
           maktabad si ay uga sii fiicnaato."
Raman Reference Library,Maktabadda Tixraaca Raman
FTIR Reference Library,Maktabadda Tixraaca FTIR
Raman Reference Library Metadata,Maktabadda Tixraaca Raman Metadata
FTIR Reference Library Metadata,Metadata Maktabadda Tixraaca FTIR
Contribute Spectra,Wax ku biirinta Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Si loo wadaago spectra soo rar fayl tab faylka rarka. Haddii aad doorato La wadaag nuqul ka mid ah spectra-gaaga ayaa loo soo diri doonaa Bulshada
           Kaydka Xogta ee Qaabdhismeedka Sayniska ee Furan. Si loogu daro xog badan oo badan,
           buuxi goobaha xogta badan ee la heli karo oo guji -Share Data-. The
           faylka spectra ee aad soo gelisay oo ay la socdaan jawaabahaaga waa la koobiyi doonaa
           gal-hoosaadka a -With Metadata- ee ku yaal iskuxirka hoose. Dhammaan xogta la wadaago way hayaan
           Shatiga Astaanta Hal-abuurka Guud 4.0."
Community Data Warehouse,Kaydka Xogta Bulshada
Tool Validation,Xaqiijinta Qalabka
