en,sq
About,Rreth
Welcome,Mirë se vini
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Bashkohuni me qindra studiues nga përreth
           bota që janë pjesë e komunitetit Open Specy nga
           duke analizuar, ndarë, përpunuar dhe identifikuar
           spektrat e tyre Raman dhe IR. Këto shërbime janë falas dhe me burim të hapur falë partnerëve tanë:"
Quick Video Tutorial,Video tutorial i shpejtë
Instructions,udhëzime
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Shkurtimisht: Për të përdorur mjetin ngarkoni një skedar csv, asp, jdx, spc ose spa në skedën e skedarit të ngarkimit.
                                  Nëse csv, një kolonë duhet të quhet 'numër vale' (në njësi prej 1/cm) dhe një tjetër me emrin 'intensitet'.
                                  Mund të zbutni të dhënat tuaja duke përdorur një filtër SG, të korrigjoni bazën duke përdorur rendin polinomial të iModPolyFit dhe të kufizoni diapazonin e gjatësisë së valës për përputhjen.
                                  Rezultati do të krahasohet me një bibliotekë të brendshme të spektrit Raman ose FTIR. 1000 ndeshjet më të forta së bashku me tuajin
                                  të dhënat e ngarkuara ose të përpunuara do të paraqiten në një grafik dhe tabelë interaktive. Për më shumë detaje klikoni butonin më poshtë
                                  ose shikoni videon e detajuar udhëzuese."
Detailed Standard Operating Procedure,Procedura standarde e detajuar e funksionimit
Download Open Data,Shkarkoni Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Spektrat e referencës u morën nga burimet me akses të hapur
           në internet, botime të rishikuara nga kolegët dhe donacione të korporatave. Në të ardhmen
           spektrat që ngarkohen në mjet do të inkorporohen në referencë
           bibliotekë për ta bërë atë edhe më të mirë."
Raman Reference Library,Biblioteka e Referencave Raman
FTIR Reference Library,Biblioteka e Referencave FTIR
Raman Reference Library Metadata,Metadatat e bibliotekës së referencës Raman
FTIR Reference Library Metadata,Metadatat e bibliotekës së referencës FTIR
Contribute Spectra,Kontribuoni Spectra
