en,sr
About,О томе
Welcome,Добродошли
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Придружите се стотинама истраживача из околине
           света који су део заједнице Опен Специ би
           анализирање, дељење, обрада и идентификовање
           њихов Раман и ИР спектар. Ове услуге су бесплатне и отвореног кода захваљујући нашим партнерима:"
Quick Video Tutorial,Брзи видео водич
Instructions,Упутства
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Укратко: Да бисте користили алат, отпремите цсв, асп, јдк, спц или спа датотеку на картицу за отпремање.
                                  Ако је цсв, једна колона треба да носи назив „таласни број“ (у јединицама од 1/цм), а друга „интензитет“.
                                  Можете да изгладите своје податке помоћу СГ филтера, да исправите своје податке користећи полиномски ред иМодПолиФит и ограничите опсег таласних дужина за подударање.
                                  Резултат ће бити упоређен са интерном библиотеком Раман или ФТИР спектра. Најјачих 1000 утакмица заједно са вашим
                                  учитани или обрађени подаци биће представљени у интерактивном приказу и табели. За више детаља кликните на дугме испод
                                  или погледајте видео са детаљним упутствима."
Detailed Standard Operating Procedure,Детаљна стандардна оперативна процедура
Download Open Data,Преузмите отворене податке
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Референтни спектри су добијени из извора отвореног приступа
           онлајн, рецензиране публикације и корпоративне донације. Убудуће
           спектри који су учитани у алат ће бити укључени у референцу
           библиотеку да буде још боље."
Raman Reference Library,Раманова референтна библиотека
FTIR Reference Library,Референтна библиотека ФТИР
Raman Reference Library Metadata,Метаподаци Раманове референтне библиотеке
FTIR Reference Library Metadata,Метаподаци референтне библиотеке ФТИР
Contribute Spectra,Допринесите Спецтра
