en,st
About,About
Welcome,Rea u amohela
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Eba karolo ea bafuputsi ba makholo ba tsoang libakeng tse ling
           lefats'e bao e leng karolo ea sechaba sa Open Specy ka
           ho sekaseka, ho arolelana, ho sebetsa le ho tsebahatsa
           ponahalo ea bona ea Raman le IR. Litšebeletso tsena ke tsa mahala ebile li fumaneha mohloling o bulehileng ka thuso ea basebetsi-'moho le rona:"
Quick Video Tutorial,Potlako Video Tutorial
Instructions,Litaelo
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Ka bokhutšoane: Ho sebelisa sesebelisoa kenya csv, asp, jdx, spc, kapa faele ea spa ho tab ea faele ea upload.
                                  Haeba csv, kholomo e le 'ngoe e lokela ho bitsoa 'wavenumber' (ka li-unit tsa 1/cm) 'me e 'ngoe e rehe 'intensty'.
                                  U ka theola lintlha tsa hau u sebelisa filthara ea SG, u lokisa lintlha tsa hau u sebelisa tatellano ea polynomial ea iModPolyFit, 'me u behe moeli oa bolelele ba maqhubu bakeng sa papali.
                                  Sephetho se tla bapisoa le laeborari ea ka hare ea Raman kapa FTIR. Lipapali tse matla ka ho fetisisa tse 1000 hammoho le tsa hau
                                  data e kentsoeng kapa e sebetsitsoeng e tla hlahisoa ka morero le tafole e sebetsanang. Bakeng sa lintlha tse ling tobetsa konopo e ka tlase
                                  kapa shebella video e qaqileng ea litaelo."
Detailed Standard Operating Procedure,Mokhoa o Kenyellelitsoeng oa Boemo ba Ts'ebetso
Download Open Data,Khoasolla Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Reference spectra e nkuoe mehloling e bulehileng ea phihlello
           inthaneteng, likhatiso tse hlahlobiloeng ke lithaka, le menehelo ea likhoebo. Nakong e tlang
           spectra e kentsoeng sesebelisoa e tla kenyelletsoa ho referense
           laebrari ho etsa hore e be betere."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Nehelana ka Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ho arolelana spectra kenya faele ho tab ya faele ya upload. Haeba u khethile Share kopi ea spectra ea hau e tla romelloa ho Sechaba
           Sebaka sa polokelo ea boitsebiso ho Open Science Framework. Ho eketsa metadata e eketsehileng,
           tlatsa libaka tsa metadata tse fumanehang ebe u tobetsa -Share Data-. The
           faele ea spectra eo u e kentseng hammoho le likarabo tsa hau e tla kopitsoa
           ho -With Metadata- sephutheloana se sehokelong se ka tlase. Lintlha tsohle tse arolelanoang li na le
           laesense ea Creative Commons Attribution 4.0."
Community Data Warehouse,Sebaka sa polokelo ea Boitsebiso ba Sechaba
Tool Validation,Ntlafatso ea Lisebelisoa
