en,su
About,Ngeunaan
Welcome,Wilujeng sumping
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Gabung ratusan peneliti ti sabudeureun
           dunya anu bagian tina komunitas Open Specy ku
           nganalisis, babagi, ngolah, jeung ngaidentipikasi
           spéktra Raman jeung IR maranéhanana. Ladenan ieu gratis sareng open source berkat mitra kami:"
Quick Video Tutorial,Tutorial Video Gancang
Instructions,parentah
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Singketna: Pikeun nganggo alat, unggah file csv, asp, jdx, spc, atanapi spa kana tab file unggah.
                                  Lamun csv, hiji kolom kudu ngaranna 'wavenumber' (dina hijian 1/cm) sarta séjén ngaranna 'inténsitas'.
                                  Anjeun tiasa ngahaluskeun data anjeun nganggo saringan SG, ngabenerkeun data dasar anjeun nganggo urutan polinomial iModPolyFit, sareng ngabatesan rentang panjang gelombang pikeun pertandingan.
                                  Hasilna bakal dibandingkeun sareng perpustakaan spéktra Raman atanapi FTIR internal. The neneng 1000 patandingan sapanjang kalawan anjeun
                                  data nu diunggah atawa diolah bakal dibere dina plot interaktif tur tabel. Pikeun leuwih rinci klik tombol di handap
                                  atawa lalajo video instruksional lengkep."
Detailed Standard Operating Procedure,Detil Prosedur Operasi Standar
Download Open Data,Unduh Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","spéktra rujukan ieu sourced ti sumber aksés kabuka
           online, publikasi peer reviewed, sarta sumbangan perusahaan. Di masa anu payun
           spéktra anu diunggah kana alat bakal dilebetkeun kana rujukan
           perpustakaan sangkan eta malah hadé."
Raman Reference Library,Perpustakaan Rujukan Raman
FTIR Reference Library,Perpustakaan Rujukan FTIR
Raman Reference Library Metadata,Métadata Perpustakaan Rujukan Raman
FTIR Reference Library Metadata,Métadata Perpustakaan Rujukan FTIR
Contribute Spectra,Nyumbangkeun Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Pikeun ngabagi spéktra unggah file kana tab unggah file. Upami anjeun milih Bagikeun salinan spéktra anjeun bakal dikirim ka Komunitas
           Gudang Data on Open Science Framework. Pikeun nambahkeun metadata tambahan,
           eusian widang metadata sadia tur klik -Bagikeun Data-. The
           file spéktra anu anjeun unggah sareng réspon anjeun bakal disalin
           ka subfolder -With Metadata- dina tautan di handap. Kabéh data dibagikeun nahan
           Lisensi Atribusi Creative Commons 4.0."
Community Data Warehouse,Gudang Data Komunitas
Tool Validation,Validasi Alat
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Sadaya parameter dina alat ieu diuji pikeun mastikeun éta
           alat ieu fungsina sabisa-gancang sarta nangtukeun standar pangalusna
           parameter dipaké. Prosedur validasi kami ayeuna kalebet koréksi
           éntri duplikat dina perpustakaan rujukan, mariksa spéktra di
           metadata anu henteu aya dina perpustakaan spéktral, sareng mastikeun yén standar
           parameter nyadiakeun leuwih 80% akurasi dina pertandingan munggaran."
Detailed Validation Procedure,Prosedur Validasi lengkep
"Updates, Feature Requests, and Bug Reports","Pembaruan, Paménta Fitur, sareng Laporan Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kami ngalacak sadaya apdet nganggo kontrol versi dina kode kami. Fitur tiasa dipénta sareng bug dilaporkeun dina GitHub.
Stay up to date!,Tetep nepi ka tanggal!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Tuturkeun kami dina Twitter @OpenSpecy. E-mail wincowger@gmail.com pikeun ditambahkeun kana milis.
Citation,Citation
Useful Links,Tumbu mangpaat
Free FTIR Software: siMPle microplastic IR spectral identification software,Parangkat Lunak FTIR Gratis: parangkat lunak idéntifikasi spéktral IR mikroplastik basajan
Free Spectroscopy Learning Academy from ThermoFisher,Akademi Pembelajaran Spektroskopi Gratis ti ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Sumberdaya Pembelajaran Mikroskop Optik Gratis ti Florida State University
Free desktop application for spectral analysis and links to reference databases.,Aplikasi desktop gratis pikeun analisa spéktral sareng tautan ka pangkalan data rujukan.
Terms And Conditions,Syarat sareng katangtuan
Privacy Policy,kabijakan privasi
Upload File,Unggah File
"Upload, View, and Share Spectra","Unggah, Témbongkeun, sareng Bagikeun Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Pilih .csv (dipikaresep), .asp, .jdx, .spc, .spa, atawa .0 File"
Share Your Data?,Bagikeun Data anjeun?
Share Help,Bagikeun Pitulung
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Upami anjeun resep, kami bagikeun spéktra sareng setélan anu anjeun unggah ka komunitas spéktroskopi.
           Sacara standar, sadaya data bakal dilisensikeun ku Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Spéktra anu diunggah bakal muncul di dieu: https://osf.io/rjg3c"
Upload Help,Unggah Pitulung
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Unggah file spéktrum Raman atanapi FTIR salaku csv, jdx, spc, atanapi spa. A file csv pikaresep. Lamun csv, file kudu ngandung hiji kolom dilabélan 'wavenumber' dina hijian (1/cm) sarta kolom séjén dilabélan 'inténsitas' dina unit absorbance.
            Lamun jdx, spc, spa, atawa 0 file kudu spéktrum absorbance tunggal kalawan wavenumber dina (1/cm). Berkas-berkas ieu moal salawasna jalan sampurna sabab hese dibaca ku kituna pariksa deui dina parangkat lunak anu sanés.
            Pencét tombol 'Test Data' pikeun ngaunduh sampel spéktrum Raman."
Intensity Adjustment,Inténsitas adjustment
None,Euweuh
Transmittance,Pangiriman
Reflectance,Pantulan
Intensity Correction Help,Inténsitas Pitulung Koreksi
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Upami spéktrum anu diunggah henteu aya dina unit nyerep,
           make input ieu nangtukeun unit pikeun ngarobah from.Open Specy tiasa
           saluyukeun reflectance atanapi transmitansi spéktrum ka Unit Nyerep ngagunakeun
           leupaskeun ieu dina tab unggah file. Sadaya tab sateuacana
           nganggap yén data aya dina unit absorbance jadi Anjeun kudu nyieun
           koreksi saméméh nuluykeun lamun diperlukeun. Penyesuaian transmitansi
           ngagunakeun log10 (1/T) itungan nu teu bener pikeun sistem
           jeung ciri partikel. adjustment reflectance ngagunakeun
           Persamaan Kubelka-Munk (1-R)2/(2*R). Urang nganggap yén reflectance nu
           diformat salaku persen tina 1-100 sareng mimiti ngabenerkeun inténsitas ku ngabagi 100
           sangkan luyu jeung wangun nu dipiharep ku persamaan.
           Upami teu aya anu dipilih, Open Specy nganggap yén data anu diunggah nyaéta
           spéktrum absorbance."
Sample File,Sampel File
Sample Data Help,Sampel Data Pitulung
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ieu mangrupikeun spéktrum sampel anu tiasa diunggah kana alat pikeun nguji éta sareng ngartos kumaha file csv kedah diformat.
Metadata Input,Input Metadata
Metadata Help,Pitulung Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Kami ngabagi spéktra sareng metadata anu diunggah sareng komunitas spéktroskopi upami anjeun ngeusian metadata di dieu teras pilih bagikeun.
           Spéktra sareng metadata anu diunggah bakal muncul di dieu: https://osf.io/rjg3c"
Share Metadata,Bagikeun Metadata
Upload some data to get started...,Unggah sababaraha data pikeun ngamimitian...
Preprocess Spectrum,Spéktrum Pra-prosés
"Smooth, Baseline Correct, and Download Processed Spectra","Lemes, Baseline Bener, sareng Ngundeur Spéktra Diolah"
Download (recommended),Unduh (disarankeun)
Download Help,Unduh Pitulung
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Sababaraha pangguna panginten hoyong nyimpen salinan spéktrum anu diolah. Tombol ieu ngaunduh spéktrum anu diolah salaku file csv.
Smoothing,Ngalempengkeun
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ieu smoother bisa ningkatkeun sinyal pikeun babandingan noise data sarta ngagunakeun filter Savitzky-Golay kalawan 12 titik data ngajalankeun sarta polynomial dieusian.
Smoothing Polynomial,Polinomial smoothing
Baseline Correction,Koréksi Baseline
Baseline Correction Help,Pitulung Koreksi Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Rutinitas koreksi garis dasar ieu boga dua pilihan pikeun koreksi garis dasar, 1) prosedur imodpolyfit polinomial pikeun manggihan garis dasar spéktrum sacara itteratif ngagunakeun fit polinomial ka sakabéh wewengkon spéktra. 2) garis manual tiasa digambar nganggo alat garis dina plot sareng tombol anu leres bakal nganggo garis pikeun ngirangan garis dasar."
Baseline Correction Polynomial,Polinomial Koréksi Dasar
Technique,Téhnik
Polynomial,Polinomial
Manual,Manual
Correct With Trace,Benerkeun Jeung Trace
Reset,Reset
Range Selection,Pamilihan rentang
Spectral Range Help,Spéktral Range Pitulung
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ngawates rentang spéktral tiasa ngaleungitkeun daérah spéktrum anu henteu aya puncak sareng ningkatkeun patandingan
Maximum Spectral Range,Rentang spéktral maksimum
Minimum Spectral Range,Rentang spéktral minimum
Identify Spectrum,Identipikasi Spéktrum
Identify Spectrum Using the Reference Library,Identipikasi Spéktrum Ngagunakeun Perpustakaan Rujukan
Raman,Raman
FTIR,FTIR
Spectra,Spéktra
Type,Tipe
Spectrum Type Help,Spéktrum Tipe Pitulung
