en,sv
About,Handla om
Welcome,Välkommen
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Följ med hundratals forskare från hela världen
           världen som är en del av Open Specy-gemenskapen av
           analysera, dela, bearbeta och identifiera
           deras Raman- och IR-spektra. Dessa tjänster är gratis och öppen källkod tack vare våra partners:"
Quick Video Tutorial,Snabbvideohandledning
Instructions,Instruktioner
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","I korthet: För att använda verktyget ladda upp en csv-, asp-, jdx-, spc- eller spa-fil till filfliken för uppladdning.
                                  Om csv ska en kolumn benämnas 'vågnummer' (i enheter om 1/cm) och en annan benämns 'intensitet'.
                                  Du kan jämna ut dina data med ett SG-filter, baslinjekorrigera dina data med polynomordningen för iModPolyFit och begränsa våglängdsintervallet för matchen.
                                  Resultatet kommer att jämföras med ett internt Raman- eller FTIR-spektrabibliotek. De starkaste 1000 matcherna tillsammans med din
                                  uppladdade eller bearbetade data kommer att presenteras i en interaktiv plot och tabell. För mer information klicka på knappen nedan
                                  eller titta på den detaljerade instruktionsvideon."
Detailed Standard Operating Procedure,Detaljerad standarddriftsprocedur
Download Open Data,Ladda ner Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referensspektra hämtades från resurser med öppen åtkomst
           online, peer reviewed publikationer och företagsdonationer. I framtiden
           spektra som laddas upp till verktyget kommer att inkorporeras i referensen
           biblioteket för att göra det ännu bättre."
Raman Reference Library,Raman Referensbibliotek
