en,sw
About,Kuhusu
Welcome,Karibu
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Jiunge na mamia ya watafiti kutoka pande zote
           ulimwengu ambao ni sehemu ya jamii ya Open Specy by
           kuchambua, kushiriki, kuchakata na kutambua
           Raman yao na IR spectra. Huduma hizi ni za bure na huria, shukrani kwa washirika wetu:"
Quick Video Tutorial,Mafunzo ya Video ya Haraka
Instructions,Maagizo
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Kwa ufupi: Ili kutumia zana pakia faili ya csv, asp, jdx, spc, au spa kwenye kichupo cha faili ya kupakia.
                                  Ikiwa csv, safu wima moja inapaswa kutajwa 'nambari ya wimbi' (katika vitengo vya 1/cm) na nyingine iitwe 'kiwango'.
                                  Unaweza kulainisha data yako kwa kutumia kichujio cha SG, kusahihisha data yako kwa kutumia mpangilio wa polinomia wa iModPolyFit, na uzuie urefu wa wimbi kwa mechi.
                                  Matokeo yatalinganishwa na maktaba ya ndani ya Raman au FTIR. Mechi kali zaidi 1000 pamoja na yako
                                  data iliyopakiwa au kuchakatwa itawasilishwa katika njama na jedwali shirikishi. Kwa maelezo zaidi bofya kitufe hapa chini
                                  au tazama video ya maelekezo ya kina."
Detailed Standard Operating Procedure,Utaratibu wa Uendeshaji wa Kina wa Kawaida
Download Open Data,Pakua Fungua Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Marejeleo ya marejeleo yalitolewa kutoka kwa rasilimali huria za ufikiaji
           mtandaoni, machapisho yaliyokaguliwa na wenzi, na michango ya shirika. Katika siku za usoni
           spectra ambayo imepakiwa kwenye zana itajumuishwa kwenye marejeleo
           maktaba ili kuifanya iwe bora zaidi."
Raman Reference Library,Maktaba ya Marejeleo ya Raman
FTIR Reference Library,Maktaba ya Marejeleo ya FTIR
Raman Reference Library Metadata,Metadata ya Maktaba ya Marejeleo ya Raman
FTIR Reference Library Metadata,Metadata ya Maktaba ya Marejeleo ya FTIR
Contribute Spectra,Changia Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ili kushiriki mwonekano pakia faili kwenye kichupo cha faili ya kupakia. Ukichagua Shiriki nakala ya mwonekano wako itatumwa kwa Jumuiya
           Ghala la Data kwenye Mfumo wa Sayansi Huria. Ili kuongeza metadata ya ziada,
           jaza sehemu za metadata zinazopatikana na ubofye -Shiriki Data-. The
           faili ya spectra uliyopakia pamoja na majibu yako itanakiliwa
           kwa folda ya -Na Metadata- kwenye kiungo kilicho hapa chini. Data zote zilizoshirikiwa zimehifadhiwa
           Leseni ya Maelezo ya Creative Commons 4.0."
