en,ta
About,பற்றி
Welcome,வரவேற்பு
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","சுற்றியுள்ள நூற்றுக்கணக்கான ஆராய்ச்சியாளர்களுடன் சேரவும்
           திறந்த இன சமூகத்தின் ஒரு பகுதியாக இருக்கும் உலகம்
           பகுப்பாய்வு செய்தல், பகிர்தல், செயலாக்குதல் மற்றும் அடையாளம் காணுதல்
           அவர்களின் ராமன் மற்றும் ஐஆர் ஸ்பெக்ட்ரா. இந்த சேவைகள் இலவசம் மற்றும் எங்கள் கூட்டாளர்களுக்கு நன்றி:"
Quick Video Tutorial,விரைவு வீடியோ டுடோரியல்
Instructions,வழிமுறைகள்
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","சுருக்கமாக: கருவியைப் பயன்படுத்த, csv, asp, jdx, spc அல்லது spa கோப்பை பதிவேற்ற கோப்பு தாவலில் பதிவேற்றவும்.
                                  csv எனில், ஒரு நெடுவரிசைக்கு 'அலை எண்' (1/cm அலகுகளில்) என்றும், மற்றொன்றுக்கு 'தீவிரம்' என்றும் பெயரிட வேண்டும்.
                                  SG வடிப்பானைப் பயன்படுத்தி உங்கள் தரவை மென்மையாக்கலாம், iModPolyFit இன் பல்லுறுப்புக்கோவை வரிசையைப் பயன்படுத்தி உங்கள் தரவை அடிப்படைத் திருத்தம் செய்யலாம் மற்றும் போட்டிக்கான அலைநீள வரம்பைக் கட்டுப்படுத்தலாம்.
                                  இதன் விளைவாக உள்ளக ராமன் அல்லது FTIR நிறமாலை நூலகத்துடன் ஒப்பிடப்படும். உங்களுடன் இணைந்து வலுவான 1000 போட்டிகள்
                                  பதிவேற்றிய அல்லது செயலாக்கப்பட்ட தரவு ஒரு ஊடாடும் சதி மற்றும் அட்டவணையில் வழங்கப்படும். மேலும் விவரங்களுக்கு கீழே உள்ள பட்டனை கிளிக் செய்யவும்
                                  அல்லது விரிவான அறிவுறுத்தல் வீடியோவைப் பார்க்கவும்."
Detailed Standard Operating Procedure,விரிவான நிலையான செயல்பாட்டு செயல்முறை
Download Open Data,திறந்த தரவைப் பதிவிறக்கவும்
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","குறிப்பு நிறமாலை திறந்த அணுகல் ஆதாரங்களில் இருந்து பெறப்பட்டது
           ஆன்லைனில், சக மதிப்பாய்வு செய்யப்பட்ட வெளியீடுகள் மற்றும் பெருநிறுவன நன்கொடைகள். எதிர்காலத்தில்
           கருவியில் பதிவேற்றப்படும் ஸ்பெக்ட்ரா குறிப்புடன் இணைக்கப்படும்
           நூலகம் இன்னும் சிறப்பாக செய்ய வேண்டும்."
Raman Reference Library,ராமன் குறிப்பு நூலகம்
