en,te
About,గురించి
Welcome,స్వాగతం
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","చుట్టూ ఉన్న వందలాది మంది పరిశోధకులతో చేరండి
           ద్వారా ఓపెన్ స్పీసీ కమ్యూనిటీలో భాగమైన ప్రపంచం
           విశ్లేషించడం, భాగస్వామ్యం చేయడం, ప్రాసెస్ చేయడం మరియు గుర్తించడం
           వారి రామన్ మరియు IR స్పెక్ట్రా. ఈ సేవలు ఉచితం మరియు ఓపెన్ సోర్స్ మా భాగస్వాములకు ధన్యవాదాలు:"
Quick Video Tutorial,త్వరిత వీడియో ట్యుటోరియల్
Instructions,సూచనలు
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","సంక్షిప్తంగా: సాధనాన్ని ఉపయోగించడానికి csv, asp, jdx, spc లేదా స్పా ఫైల్‌ను అప్‌లోడ్ ఫైల్ ట్యాబ్‌కు అప్‌లోడ్ చేయండి.
                                  csv అయితే, ఒక కాలమ్‌కి 'వేవెన్‌నంబర్' అని పేరు పెట్టాలి (1/సెం. యూనిట్లలో) మరియు మరొకదానికి 'ఇంటెన్సిటీ' అని పేరు పెట్టాలి.
                                  మీరు SG ఫిల్టర్‌ని ఉపయోగించి మీ డేటాను సులభతరం చేయవచ్చు, iModPolyFit యొక్క బహుపది క్రమాన్ని ఉపయోగించి మీ డేటాను బేస్‌లైన్ సరిచేయవచ్చు మరియు మ్యాచ్ కోసం తరంగదైర్ఘ్యం పరిధిని పరిమితం చేయవచ్చు.
                                  ఫలితం అంతర్గత రామన్ లేదా FTIR స్పెక్ట్రా లైబ్రరీతో పోల్చబడుతుంది. మీతో పాటు బలమైన 1000 మ్యాచ్‌లు
                                  అప్‌లోడ్ చేయబడిన లేదా ప్రాసెస్ చేయబడిన డేటా ఇంటరాక్టివ్ ప్లాట్ మరియు టేబుల్‌లో ప్రదర్శించబడుతుంది. మరిన్ని వివరాల కోసం దిగువ బటన్‌ను క్లిక్ చేయండి
                                  లేదా వివరణాత్మక సూచన వీడియోను చూడండి."
Detailed Standard Operating Procedure,వివరణాత్మక ప్రామాణిక ఆపరేటింగ్ విధానం
Download Open Data,ఓపెన్ డేటాను డౌన్‌లోడ్ చేయండి
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","రిఫరెన్స్ స్పెక్ట్రా ఓపెన్ యాక్సెస్ వనరుల నుండి తీసుకోబడింది
           ఆన్‌లైన్‌లో, పీర్ సమీక్షించిన ప్రచురణలు మరియు కార్పొరేట్ విరాళాలు. భవిష్యత్తులో
           సాధనానికి అప్‌లోడ్ చేయబడిన స్పెక్ట్రా సూచనకు చేర్చబడుతుంది
           లైబ్రరీని మరింత మెరుగుపరచడానికి."
Raman Reference Library,రామన్ రిఫరెన్స్ లైబ్రరీ
FTIR Reference Library,FTIR రిఫరెన్స్ లైబ్రరీ
Raman Reference Library Metadata,రామన్ రిఫరెన్స్ లైబ్రరీ మెటాడేటా
