en,tg
About,Дар бораи
Welcome,Хуш омадед
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Ба садҳо муҳаққиқони гирду атроф ҳамроҳ шавед
           ҷаҳон, ки як қисми ҷомеаи Open Specy аз тарафи
           таҳлил, мубодила, коркард ва муайян кардан
           спектрҳои Раман ва IR-и онҳо. Ин хидматҳо ба шарофати шарикони мо ройгон ва манбаи кушода мебошанд:"
Quick Video Tutorial,Дастури видеоии зуд
Instructions,Дастурҳо
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Хулоса: Барои истифодаи асбоб файли csv, asp, jdx, spc ё spa-ро ба ҷадвали файли боргузорӣ бор кунед.
                                  Агар csv бошад, як сутун бояд ""рақами мавҷ"" (бо воҳиди 1/см) ва дигаре ""шиддат"" номида шавад.
                                  Шумо метавонед маълумоти худро бо истифода аз филтри SG ҳамвор кунед, маълумоти худро бо истифода аз тартиби полиномии iModPolyFit ислоҳ кунед ва диапазони дарозии мавҷро барои мувофиқат маҳдуд кунед.
                                  Натиҷа бо китобхонаи спектрҳои дохилии Раман ё FTIR муқоиса карда мешавад. Қавитарин 1000 мувофиқат дар якҷоягӣ бо шумо
                                  маълумоти боршуда ё коркардшуда дар сюжет ва ҷадвали интерактивӣ пешниҳод карда мешаванд. Барои тафсилоти бештар тугмаи зерро пахш кунед
                                  ё видеои муфассали таълимиро тамошо кунед."
Detailed Standard Operating Procedure,Тартиби муфассали стандартии амалиёт
Download Open Data,Маълумоти кушодро зеркашӣ кунед
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Спектрҳои истинод аз манбаъҳои дастрасии кушода гирифта шудаанд
           онлайн, нашрияҳои баррасишуда ва хайрияҳои корпоративӣ. Дар оянда
           спектрҳое, ки ба асбоб бор карда шудаанд, ба истинод дохил карда мешаванд
           китобхона барои боз хам бехтар кардани он."
Raman Reference Library,Китобхонаи истинод ба Раман
FTIR Reference Library,Китобхонаи маълумотномаи FTIR
Raman Reference Library Metadata,Метамаълумоти Китобхонаи истинод ба Раман
FTIR Reference Library Metadata,Метамаълумоти Китобхонаи истинод ба FTIR
Contribute Spectra,Ҳиссаи Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Барои мубодилаи спектрҳо файлро ба ҷадвали файли боргузорӣ бор кунед. Агар шумо Мубодилаи -ро интихоб кунед, нусхаи спектри шумо ба Ҷамъият фиристода мешавад
           Анбори додаҳо дар чаҳорчӯбаи Open Science. Барои илова кардани метамаълумоти иловагӣ,
           майдонҳои метамаълумоти дастрасро пур кунед ва -Мубодилаи маълумот- -ро клик кунед. Дар
           файли spectra, ки шумо дар якҷоягӣ бо ҷавобҳои худ бор кардаед, нусхабардорӣ карда мешавад
           ба зерпапкаи a -With Metdata- дар истиноди зер. Ҳама маълумоти муштарак нигоҳ дошта мешаванд
           Литсензияи Creative Commons Attribution 4.0."
Community Data Warehouse,Анбори маълумоти ҷомеа
Tool Validation,Санҷиши асбоб
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ҳама параметрҳои ин асбоб барои тасдиқи он санҷида мешаванд
           асбоб то ҳадди имкон беҳтарин кор мекунад ва беҳтарин пешфарзро муайян мекунад
           параметрҳо барои истифода. Раванди тасдиқи ҳозираи мо ислоҳро дар бар мегирад
           сабтҳои такрорӣ дар китобхонаҳои маълумотномаҳо, тафтиши спектрҳо дар
           метамаълумот, ки дар китобхонаи спектр нест, ва таъмини пешфарз
           Параметрҳо дар бозии аввал беш аз 80% дақиқиро таъмин мекунанд."
Detailed Validation Procedure,Тартиби тасдиқи муфассал
"Updates, Feature Requests, and Bug Reports","Навсозиҳо, дархостҳои хусусиятҳо ва гузоришҳои хатогиҳо"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Мо ҳама навсозиҳоро бо истифода аз назорати версияи коди худ пайгирӣ мекунем. Хусусиятҳоро метавон дархост кард ва дар бораи хатогӣ дар GitHub гузориш дод.
Stay up to date!,Аз нав хабардор бошед!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Моро дар Twitter @OpenSpecy пайравӣ кунед. Почтаи электронии wincowger@gmail.com ба рӯйхати почтаҳо илова карда шавад.
Citation,Иқтибос
Useful Links,Пайвандҳои муфид
Free FTIR Software: siMPle microplastic IR spectral identification software,Нармафзори ройгони FTIR: нармафзори мушаххаси спектралии микропластикии IR
Free Spectroscopy Learning Academy from ThermoFisher,Академияи ройгони омӯзиши спектроскопия аз ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Манбаи ройгони омӯзиши микроскопияи оптикӣ аз Донишгоҳи давлатии Флорида
