en,th
About,เกี่ยวกับ
Welcome,ยินดีต้อนรับ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","เข้าร่วมกับนักวิจัยหลายร้อยคนจากทั่วทุกมุม
           โลกที่เป็นส่วนหนึ่งของชุมชน Open Specy โดย
           วิเคราะห์ แบ่งปัน ประมวลผล และระบุตัว
           Raman และ IR spectra ของพวกเขา บริการเหล่านี้ฟรีและโอเพ่นซอร์สต้องขอบคุณพันธมิตรของเรา:"
Quick Video Tutorial,วิดีโอสอนด่วน
Instructions,คำแนะนำ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","โดยย่อ: หากต้องการใช้เครื่องมือให้อัปโหลดไฟล์ csv, asp, jdx, spc หรือ spa ไปยังแท็บไฟล์อัปโหลด
                                  หากเป็น csv คอลัมน์หนึ่งควรมีชื่อว่า 'wavenumber' (ในหน่วย 1/ซม.) และอีกคอลัมน์หนึ่งมีชื่อว่า 'intensity'
                                  คุณสามารถทำให้ข้อมูลของคุณราบรื่นขึ้นโดยใช้ตัวกรอง SG แก้ไขข้อมูลพื้นฐานโดยใช้ลำดับพหุนามของ iModPolyFit และจำกัดช่วงความยาวคลื่นสำหรับการจับคู่
                                  ผลลัพธ์จะถูกนำไปเปรียบเทียบกับไลบรารีสเปกตรัม Raman หรือ FTIR ภายใน แมตช์ที่แข็งแกร่งที่สุด 1,000 แมตช์พร้อมกับคุณ
                                  ข้อมูลที่อัปโหลดหรือประมวลผลจะแสดงในพล็อตและตารางแบบโต้ตอบ รายละเอียดเพิ่มเติมคลิกที่ปุ่มด้านล่าง
                                  หรือดูวิดีโอคำแนะนำโดยละเอียด"
Detailed Standard Operating Procedure,ขั้นตอนการปฏิบัติงานมาตรฐานโดยละเอียด
Download Open Data,ดาวน์โหลด Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","สเปกตรัมอ้างอิงมาจากแหล่งข้อมูลการเข้าถึงแบบเปิด
           ออนไลน์ สิ่งพิมพ์ที่ผ่านการตรวจสอบโดยเพื่อน และการบริจาคขององค์กร ในอนาคต
           สเปกตรัมที่อัปโหลดไปยังเครื่องมือจะถูกรวมเข้ากับข้อมูลอ้างอิง
           ห้องสมุดให้ดียิ่งขึ้นไปอีก"
Raman Reference Library,ห้องสมุดอ้างอิงรามัน
