en,tk
About,Hakynda
Welcome,Hoş geldiňiz
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Daş-töwereginden ýüzlerçe gözlegçä goşulyň
           tarapyndan “Açyk görnüş” jemgyýetiniň bir bölegi bolan dünýä
           derňemek, paýlaşmak, gaýtadan işlemek we kesgitlemek
           olaryň Raman we IR spektrleri. Bu hyzmatlar hyzmatdaşlarymyz üçin mugt we açyk çeşme:"
Quick Video Tutorial,Çalt wideo gollanmasy
Instructions,Görkezmeler
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Gysgaça: Gurallary ulanmak üçin csv, asp, jdx, spc ýa-da spa faýly ýüklemek faýly goýmasyna ýükläň.
                                  Csv bolsa, bir sütüne 'tolkun' (1 / sm birliklerde), beýlekisine 'intensiwlik' diýilýär.
                                  SG süzgüçini ulanyp maglumatlaryňyzy tekizläp bilersiňiz, iModPolyFit-iň polinomial tertibini ulanyp maglumatlaryňyzy düzedip bilersiňiz we oýun üçin tolkun uzynlygyny çäklendirip bilersiňiz.
                                  Netije içerki Raman ýa-da FTIR spektrli kitaphana bilen deňeşdiriler. Iň güýçli 1000 oýun siziň bilen bilelikde
                                  ýüklenen ýa-da gaýtadan işlenen maglumatlar interaktiw sýu plotetde we tablisada görkeziler. Has giňişleýin maglumat üçin aşakdaky düwmä basyň
                                  ýa-da jikme-jik görkezme wideosyna tomaşa ediň."
Detailed Standard Operating Procedure,Jikme-jik standart iş tertibi
Download Open Data,Açyk maglumatlary göçürip alyň
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Salgy spektrleri açyk giriş çeşmelerinden alyndy
           Onlaýn, deň-duşlar neşirleri we kärhana sadakalaryny gözden geçirdiler. Geljekde
           gural üçin ýüklenen spektrler salgylanma goşular
           hasam gowulaşdyrmak üçin kitaphana."
Raman Reference Library,Raman salgylanma kitaphanasy
FTIR Reference Library,FTIR salgylanma kitaphanasy
Raman Reference Library Metadata,Raman salgylanma kitaphanasy Metadata
FTIR Reference Library Metadata,FTIR salgylanma kitaphanasynyň meta-maglumaty
Contribute Spectra,Spektra goşant goşuň
