en,tl
About,Tungkol sa
Welcome,Maligayang pagdating
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Sumali sa daan-daang mga mananaliksik mula sa paligid
           ang mundo na bahagi ng Open Specy community sa pamamagitan ng
           pagsusuri, pagbabahagi, pagproseso, at pagtukoy
           kanilang Raman at IR spectra. Ang mga serbisyong ito ay libre at open source salamat sa aming mga kasosyo:"
Quick Video Tutorial,Mabilis na Tutorial sa Video
Instructions,Mga tagubilin
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Sa madaling sabi: Upang magamit ang tool, mag-upload ng csv, asp, jdx, spc, o spa file sa tab ng upload file.
                                  Kung csv, ang isang column ay dapat na pinangalanang 'wavenumber' (sa mga unit na 1/cm) at isa pang pinangalanang 'intensity'.
                                  Maaari mong pakinisin ang iyong data gamit ang isang SG filter, itama ng baseline ang iyong data gamit ang polynomial order ng iModPolyFit, at paghigpitan ang hanay ng wavelength para sa tugma.
                                  Ang resulta ay ihahambing sa isang panloob na Raman o FTIR spectra library. Ang pinakamalakas na 1000 tugma kasama ng iyong
                                  ang na-upload o naprosesong data ay ipapakita sa isang interactive na plot at talahanayan. Para sa higit pang mga detalye i-click ang button sa ibaba
                                  o panoorin ang detalyadong pagtuturong video."
Detailed Standard Operating Procedure,Detalyadong Standard Operating Procedure
Download Open Data,I-download ang Open Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Ang reference spectra ay nagmula sa mga open access na mapagkukunan
           online, mga publikasyong sinuri ng mga kasamahan, at mga donasyon ng kumpanya. Sa hinaharap
           Ang spectra na na-upload sa tool ay isasama sa reference
           silid-aklatan upang mapaganda pa ito."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Metadata ng Raman Reference Library
FTIR Reference Library Metadata,Metadata ng FTIR Reference Library
Contribute Spectra,Mag-ambag ng Spectra
