en,tr
About,Hakkında
Welcome,Hoş geldin
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Her yerden yüzlerce araştırmacıya katılın
           tarafından Open Specy topluluğunun bir parçası olan dünya
           analiz etme, paylaşma, işleme ve tanımlama
           Raman ve IR spektrumları. Bu hizmetler, ortaklarımız sayesinde ücretsiz ve açık kaynaklıdır:"
Quick Video Tutorial,Hızlı Video Eğitimi
Instructions,Talimatlar
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Özetle: Aracı kullanmak için dosya yükleme sekmesine bir csv, asp, jdx, spc veya spa dosyası yükleyin.
                                  csv ise, bir sütun 'dalga sayısı' (1/cm biriminde) ve diğeri 'yoğunluk' olarak adlandırılmalıdır.
                                  Bir SG filtresi kullanarak verilerinizi düzeltebilir, iModPolyFit'in polinom sırasını kullanarak verilerinizi temel düzeltebilir ve eşleşme için dalga boyu aralığını sınırlayabilirsiniz.
                                  Sonuç, dahili bir Raman veya FTIR spektrum kitaplığı ile karşılaştırılacaktır. Seninle birlikte en güçlü 1000 maç
                                  yüklenen veya işlenen veriler etkileşimli bir grafik ve tabloda sunulacaktır. Daha fazla ayrıntı için aşağıdaki düğmeyi tıklayın
                                  veya ayrıntılı eğitim videosunu izleyin."
Detailed Standard Operating Procedure,Ayrıntılı Standart Çalıştırma Prosedürü
Download Open Data,Açık Verileri İndir
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Referans spektrumları açık erişim kaynaklarından alınmıştır
           çevrimiçi, hakemli yayınlar ve kurumsal bağışlar. Gelecekte
           araca yüklenen spektrumlar referansa dahil edilecektir.
           kütüphaneyi daha da iyi hale getirmek için."
Raman Reference Library,Raman Referans Kitaplığı
FTIR Reference Library,FTIR Referans Kitaplığı
Raman Reference Library Metadata,Raman Referans Kitaplığı Meta Verileri
FTIR Reference Library Metadata,FTIR Referans Kitaplığı Meta Verileri
Contribute Spectra,Spektrumlara Katkıda Bulunun
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Spektrumları paylaşmak için dosya yükleme sekmesine bir dosya yükleyin. Paylaş'ı seçtiyseniz, spektrumunuzun bir kopyası Topluluğa gönderilecektir.
           Açık Bilim Çerçevesinde Veri Ambarı. Ek meta veriler eklemek için,
           kullanılabilir meta veri alanlarını doldurun ve -Share Data-'ya tıklayın. bu
           yanıtlarınızla birlikte yüklediğiniz spectra dosyası kopyalanacak
           aşağıdaki bağlantıdaki a -With Metadata- alt klasörüne. Tüm paylaşılan veri muhafazaları
           Creative Commons Atıf Lisansı 4.0."
Community Data Warehouse,Topluluk Veri Ambarı
Tool Validation,Araç Doğrulama
