en,tt
About,Турында
Welcome,Рәхим итегез
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Тирә-яктагы йөзләгән тикшерүчеләргә кушылыгыз
           Ачык Специаль җәмгыятьнең өлеше булган дөнья
           анализлау, бүлешү, эшкәртү һәм ачыклау
           аларның Раман һәм ИР спектры. Бу хезмәтләр безнең партнерларга бушлай һәм ачык чыганак:"
Quick Video Tutorial,Тиз видео дәрес
Instructions,Инструкция
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Кыскача: коралны куллану өчен csv, asp, jdx, spc яки spa файлларын йөкләү файллары салынмасына йөкләү.
                                  Csv булса, бер баганага ""дулкын"" (1 / см берәмлекләрдә), икенчесенә ""интенсивлык"" дип исем бирергә кирәк.
                                  Сез SG фильтры ярдәмендә мәгълүматыгызны шомартырга, iModPolyFit полиномиаль тәртибе ярдәмендә мәгълүматыгызны төзәтергә һәм матч өчен дулкын озынлыгы диапазонын чикләргә мөмкин.
                                  Нәтиҗә эчке Раман яки FTIR спектр китапханәсе белән чагыштырылачак. Сезнең белән бергә иң көчле 1000 матч
                                  йөкләнгән яки эшкәртелгән мәгълүматлар интерактив сюжетта һәм таблицада күрсәтеләчәк. Төгәлрәк мәгълүмат өчен астагы төймәгә басыгыз
                                  яисә җентекле күрсәтмә видео карау."
Detailed Standard Operating Procedure,Стандарт операция процедурасы
Download Open Data,Ачык мәгълүматны йөкләү
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Белешмә спектры ачык ресурслардан алынган
           Онлайн, тиңдәш басмалар, корпоратив иганәләр. Киләчәктә
           Коралга йөкләнгән спектрлар белешмәлеккә кертеләчәк
           аны тагын да яхшырак итәр өчен китапханә."
Raman Reference Library,Раман белешмә китапханәсе
FTIR Reference Library,FTIR сылтама китапханәсе
Raman Reference Library Metadata,Раман белешмә китапханә метадайыннары
FTIR Reference Library Metadata,FTIR белешмә китапханә метадайыннары
Contribute Spectra,Спектрага өлеш кертү
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Спектрны бүлешү өчен файлны йөкләү салынмасына йөкләү. Әгәр сез сайлаган булсагыз, спектрыгызның күчермәсе җәмгыятькә җибәреләчәк
           Ачык фән базасында мәгълүмат складлары. Өстәмә мета-мәгълүматлар өстәргә,
           Мета мәгълүматлар кырларын тутырыгыз һәм ""Мәгълүматны бүлешү"" төймәсенә басыгыз. .Әр сүзнең
           Сезнең җаваплар белән бергә йөкләгән спектр файллары күчереләчәк
           астагы сылтамадагы мета-мәгълүматлар папкасына. Барлык уртак мәгълүматлар бар
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Мәгълүматлар складлары
Tool Validation,Коралны тикшерү
