en,ug
About,ھەققىدە
Welcome,خۇش كەپسىز
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ئەتراپتىكى يۈزلىگەن تەتقىقاتچىلارغا قوشۇلۇڭ
           ئوچۇق Specy مەھەللىسىنىڭ بىر قىسمى بولغان دۇنيا
           تەھلىل قىلىش ، ئورتاقلىشىش ، بىر تەرەپ قىلىش ۋە پەرقلەندۈرۈش
           ئۇلارنىڭ Raman ۋە IR سپېكترى. بۇ مۇلازىمەتلەر ھەقسىز ۋە ئوچۇق كودلىرىمىزغا رەھمەت."
Quick Video Tutorial,تېز سىن دەرسلىكى
Instructions,كۆرسەتمە
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","قىسقىچە قىلىپ ئېيتقاندا: قورالنى ئىشلىتىش ئۈچۈن csv ، asp ، jdx ، spc ياكى spa ھۆججىتىنى يۈكلەش ھۆججىتىگە يۈكلەڭ.
                                  ئەگەر csv بولسا ، بىر ئىستونغا «wavenumber» (1 / cm بىرلىكلەردە) ، يەنە بىرى «كۈچلۈكلۈك» دەپ ئىسىم قويۇلۇشى كېرەك.
                                  سىز SG سۈزگۈچ ئارقىلىق سانلىق مەلۇماتلىرىڭىزنى راۋانلاشتۇرالايسىز ، iModPolyFit نىڭ كۆپ قۇتۇپلۇق تەرتىپى ئارقىلىق سانلىق مەلۇماتلىرىڭىزنى ئاساسىي جەھەتتىن توغرىلىيالايسىز ۋە مۇسابىقىنىڭ دولقۇن ئۇزۇنلۇقىنى چەكلىيەلەيسىز.
                                  نەتىجىنى ئىچكى رامان ياكى FTIR سپېكترا كۈتۈپخانىسى بىلەن سېلىشتۇرۇشقا بولىدۇ. سىز بىلەن بىللە ئەڭ كۈچلۈك 1000 مۇسابىقە
                                  يۈكلەنگەن ياكى بىر تەرەپ قىلىنغان سانلىق مەلۇماتلار ئۆز-ئارا تەسىر كۆرسىتىدىغان پىلان ۋە جەدۋەلدە كۆرسىتىلىدۇ. تېخىمۇ كۆپ تەپسىلات ئۈچۈن تۆۋەندىكى كۇنۇپكىنى بېسىڭ
                                  ياكى تەپسىلىي كۆرسەتمە فىلىمىنى كۆرۈڭ."
Detailed Standard Operating Procedure,تەپسىلىي ئۆلچەملىك مەشغۇلات تەرتىپى
Download Open Data,ئوچۇق سانلىق مەلۇماتنى چۈشۈرۈڭ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","پايدىلىنىش سپېكترى ئوچۇق زىيارەت مەنبەسىدىن ئېلىنغان
           توردا ، تورداشلار نەشىر بويۇملىرى ۋە كارخانا ئىئانىسىنى كۆزدىن كەچۈردى. كەلگۈسىدە
           قورالغا يوللانغان سپېكترا پايدىلىنىشقا بىرلەشتۈرۈلىدۇ
           ئۇنى تېخىمۇ ياخشى قىلىش ئۈچۈن كۈتۈپخانا."
Raman Reference Library,رامان پايدىلىنىش كۈتۈپخانىسى
