en,uk
About,Про
Welcome,Ласкаво просимо
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Приєднуйтесь до сотень дослідників з усього світу
           світу, які є частиною спільноти Open Specy by
           аналіз, обмін, обробка та ідентифікація
           їх спектри раманівського та ІЧ-спектра. Ці послуги є безкоштовними та відкритими завдяки нашим партнерам:"
Quick Video Tutorial,Швидкий відеоурок
Instructions,Інструкції
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Коротко: щоб використовувати інструмент, завантажте файл csv, asp, jdx, spc або spa на вкладку файлу завантаження.
                                  Якщо csv, один стовпець має називатися «хвильове число» (в одиницях 1/см), а інший — «інтенсивність».
                                  Ви можете згладити свої дані за допомогою фільтра SG, виправити базову лінію за допомогою поліноміального порядку iModPolyFit та обмежити діапазон довжин хвиль для відповідності.
                                  Результат буде порівнюватися з внутрішньою бібліотекою спектрів раманівського чи FTIR. 1000 найсильніших матчів разом із вашим
                                  завантажені або оброблені дані будуть представлені в інтерактивному графіку та таблиці. Щоб дізнатися більше, натисніть кнопку нижче
                                  або подивіться детальне навчальне відео."
Detailed Standard Operating Procedure,Детальна стандартна операційна процедура
Download Open Data,Завантажити відкриті дані
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Довідкові спектри були отримані з ресурсів відкритого доступу
           онлайн, рецензовані публікації та корпоративні пожертвування. У майбутньому
           спектри, які завантажуються в інструмент, будуть включені до посилання
           бібліотека, щоб зробити її ще кращою."
Raman Reference Library,Довідкова бібліотека Рамана
FTIR Reference Library,Довідкова бібліотека FTIR
Raman Reference Library Metadata,Метадані довідкової бібліотеки Рамана
FTIR Reference Library Metadata,Метадані довідкової бібліотеки FTIR
Contribute Spectra,Внести свій вклад в Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Щоб поділитися спектрами, завантажте файл на вкладку завантаження файлів. Якщо ви вибрали Поділитися, копія ваших спектрів буде надіслана до спільноти
           Сховище даних на Open Science Framework. Щоб додати додаткові метадані,
           заповніть доступні поля метаданих і натисніть -Share Data-. The
           файл spectra, який ви завантажили разом зі своїми відповідями, буде скопійовано
           у підтеку a -With Metadata- за посиланням нижче. Усі спільні дані зберігаються
           а Creative Commons Attribution License 4.0."
Community Data Warehouse,Сховище даних спільноти
Tool Validation,Перевірка інструменту
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Усі параметри в цьому інструменті перевіряються, щоб підтвердити це
           інструмент функціонує якнайкраще і визначає найкраще за замовчуванням
           параметри для використання. Наша поточна процедура перевірки включає виправлення
           дубльовані записи в довідкових бібліотеках, перевірка спектрів в
           метаданих, яких немає у спектральній бібліотеці, і забезпечення значення за замовчуванням
           параметри забезпечують точність понад 80% у першому матчі."
Detailed Validation Procedure,Детальна процедура підтвердження
"Updates, Feature Requests, and Bug Reports","Оновлення, запити на функції та звіти про помилки"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Ми відстежуємо всі оновлення за допомогою контролю версій нашого коду. На GitHub можна запитувати функції та повідомляти про помилку.
Stay up to date!,Будьте в курсі!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Слідкуйте за нами в Twitter @OpenSpecy. Надішліть електронну адресу wincowger@gmail.com, щоб бути доданим до списку розсилки."
Citation,Цитування
Useful Links,корисні посилання
Free FTIR Software: siMPle microplastic IR spectral identification software,Безкоштовне програмне забезпечення FTIR: просте програмне забезпечення для ІЧ-спектральної ідентифікації мікропластику
Free Spectroscopy Learning Academy from ThermoFisher,Безкоштовна академія навчання спектроскопії від ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Безкоштовний навчальний ресурс з оптичної мікроскопії від Університету штату Флорида
Free desktop application for spectral analysis and links to reference databases.,Безкоштовна настільна програма для спектрального аналізу та посилань на довідкові бази даних.
Terms And Conditions,Правила та умови
Privacy Policy,Політика конфіденційності
Upload File,Завантажити файл
"Upload, View, and Share Spectra","Завантажуйте, переглядайте та діліться Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Виберіть файл .csv (бажано), .asp, .jdx, .spc, .spa або .0"
Share Your Data?,Поділіться своїми даними?
Share Help,Поділіться довідкою
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Якщо хочете, ми ділимося вашими завантаженими спектрами та налаштуваннями зі спільнотою спектроскопії.
           За замовчуванням усі дані будуть ліцензовані відповідно до Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Завантажені спектри з’являться тут: https://osf.io/rjg3c"
Upload Help,Завантажити довідку
