en,ur
About,کے بارے میں
Welcome,خوش آمدید
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","آس پاس کے سینکڑوں محققین میں شامل ہوں۔
           دنیا جو اوپن سپیسی کمیونٹی کا حصہ ہیں بذریعہ
           تجزیہ، اشتراک، پروسیسنگ، اور شناخت
           ان کا رامان اور آئی آر سپیکٹرا۔ یہ خدمات ہمارے شراکت داروں کی بدولت مفت اور اوپن سورس ہیں:"
Quick Video Tutorial,فوری ویڈیو ٹیوٹوریل
Instructions,ہدایات
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","مختصراً: ٹول استعمال کرنے کے لیے اپ لوڈ فائل ٹیب پر csv، asp، jdx، spc، یا spa فائل اپ لوڈ کریں۔
                                  اگر csv ہے تو، ایک کالم کا نام 'wavenumber' (1/cm کی اکائیوں میں) اور دوسرے کا نام 'intensity' ہونا چاہیے۔
                                  آپ SG فلٹر کا استعمال کرتے ہوئے اپنے ڈیٹا کو ہموار کر سکتے ہیں، iModPolyFit کے کثیر الثانی آرڈر کا استعمال کرتے ہوئے اپنے ڈیٹا کو بیس لائن درست کر سکتے ہیں، اور میچ کے لیے طول موج کی حد کو محدود کر سکتے ہیں۔
                                  نتیجہ کا موازنہ اندرونی رامان یا FTIR سپیکٹرا لائبریری سے کیا جائے گا۔ آپ کے ساتھ سب سے مضبوط 1000 میچ
                                  اپ لوڈ یا پروسیس شدہ ڈیٹا کو ایک انٹرایکٹو پلاٹ اور ٹیبل میں پیش کیا جائے گا۔ مزید تفصیلات کے لیے نیچے دیئے گئے بٹن پر کلک کریں۔
                                  یا تفصیلی تدریسی ویڈیو دیکھیں۔"
Detailed Standard Operating Procedure,تفصیلی معیاری آپریٹنگ طریقہ کار
Download Open Data,اوپن ڈیٹا ڈاؤن لوڈ کریں۔
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","حوالہ سپیکٹرا کھلی رسائی کے وسائل سے حاصل کیا گیا تھا۔
           آن لائن، ہم مرتبہ جائزہ شدہ اشاعتیں، اور کارپوریٹ عطیات۔ مستقبل میں
           سپیکٹرا جو ٹول پر اپ لوڈ کیا جاتا ہے حوالہ میں شامل کیا جائے گا۔
           لائبریری کو مزید بہتر بنانے کے لیے۔"
Raman Reference Library,رامن ریفرنس لائبریری
