en,uz
About,Haqida
Welcome,Xush kelibsiz
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Atrofdagi yuzlab tadqiqotchilarga qo'shiling
           tomonidan Open Specy hamjamiyatining bir qismi bo'lgan dunyo
           tahlil qilish, almashish, qayta ishlash va aniqlash
           ularning Raman va IQ spektrlari. Hamkorlarimiz tufayli ushbu xizmatlar bepul va ochiq manba hisoblanadi:"
Quick Video Tutorial,Tezkor video darslik
Instructions,Ko'rsatmalar
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Qisqacha ma'lumot: Asbobdan foydalanish uchun csv, asp, jdx, spc yoki spa faylini yuklash fayli yorlig'iga yuklang.
                                  Agar csv bo'lsa, bitta ustun ""to'lqin raqami"" (1/sm birliklarida) va boshqasi ""intensivlik"" deb nomlanishi kerak.
                                  Siz SG filtri yordamida maʼlumotlaringizni tekislashingiz, iModPolyFit polinom tartibidan foydalanib maʼlumotlaringizni bazaviy tuzatishingiz va oʻyin uchun toʻlqin uzunligi diapazonini cheklashingiz mumkin.
                                  Natija ichki Raman yoki FTIR spektrlari kutubxonasi bilan taqqoslanadi. Siz bilan birga eng kuchli 1000 ta o'yin
                                  yuklangan yoki qayta ishlangan ma'lumotlar interaktiv syujet va jadvalda taqdim etiladi. Batafsil ma'lumot olish uchun quyidagi tugmani bosing
                                  yoki batafsil o'quv videosini tomosha qiling."
Detailed Standard Operating Procedure,Batafsil standart ish tartibi
Download Open Data,Ochiq ma'lumotlarni yuklab oling
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Yo'naltiruvchi spektrlar ochiq kirish manbalaridan olingan
           onlayn, ko'rib chiqilgan nashrlar va korporativ xayriyalar. Kelajakda
           asbobga yuklangan spektrlar havolaga kiritiladi
           kutubxonani yanada yaxshilash uchun."
Raman Reference Library,Raman ma'lumot kutubxonasi
FTIR Reference Library,FTIR ma'lumot kutubxonasi
Raman Reference Library Metadata,Raman Reference Library metama'lumotlari
FTIR Reference Library Metadata,FTIR ma'lumot kutubxonasi metama'lumotlari
Contribute Spectra,Spektrlarga hissa qo'shing
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Spektrlarni baham ko'rish uchun faylni yuklash fayl yorlig'iga yuklang. Agar siz ulashishni tanlasangiz, spektrlaringizning nusxasi hamjamiyatga yuboriladi
           Open Science Framework bo'yicha ma'lumotlar ombori. Qo'shimcha metama'lumotlarni qo'shish uchun,
           mavjud metama'lumotlar maydonlarini to'ldiring va ""Ma'lumotlarni almashish"" tugmasini bosing. The
           javoblaringiz bilan birga yuklagan spektr fayli nusxalanadi
           quyidagi havoladagi -With Metadata- pastki jildga o'ting. Barcha umumiy maʼlumotlar saqlanadi
           Creative Commons Attribution License 4.0."
Community Data Warehouse,Jamiyat maʼlumotlar ombori
Tool Validation,Asbobni tekshirish
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ushbu vositadagi barcha parametrlar buni tasdiqlash uchun sinovdan o'tkaziladi
           asbob iloji boricha yaxshi ishlaydi va eng yaxshi standartni aniqlaydi
           foydalanish uchun parametrlar. Bizning joriy tekshirish jarayoni tuzatishni o'z ichiga oladi
           ma'lumot kutubxonalarida takrorlangan yozuvlar, spektrlarni tekshirish
           spektral kutubxonada bo'lmagan metadata va standartni ta'minlash
           parametrlar birinchi o'yinda 80% dan ortiq aniqlikni ta'minlaydi."
Detailed Validation Procedure,Batafsil Validatsiya tartibi
"Updates, Feature Requests, and Bug Reports","Yangilanishlar, funksiya so‘rovlari va xatolik hisobotlari"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Biz kodimizdagi versiya nazorati yordamida barcha yangilanishlarni kuzatib boramiz. Xususiyatlarni so'rash va GitHub-da xato haqida xabar berish mumkin.
Stay up to date!,Yangiliklardan xabardor bo'ling!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Bizni Twitter @OpenSpecy-da kuzatib boring. Pochta ro'yxatiga qo'shilishi uchun wincowger@gmail.com elektron pochta manziliga xabar yuboring.
Citation,Iqtibos
Useful Links,Foydali havolalar
