en,vi
About,Về
Welcome,Chào mừng
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Tham gia cùng hàng trăm nhà nghiên cứu từ khắp nơi
           thế giới là một phần của cộng đồng Open Specy bởi
           phân tích, chia sẻ, xử lý và xác định
           phổ Raman và IR của chúng. Các dịch vụ này miễn phí và có nguồn mở nhờ các đối tác của chúng tôi:"
Quick Video Tutorial,Video hướng dẫn nhanh
Instructions,Hướng dẫn
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Tóm tắt: Để sử dụng công cụ, hãy tải tệp csv, asp, jdx, spc hoặc spa lên tab tệp tải lên.
                                  Nếu là csv, một cột phải được đặt tên là 'wavenumber' (theo đơn vị 1 / cm) và một cột khác được đặt tên là 'cường độ'.
                                  Bạn có thể làm mịn dữ liệu của mình bằng cách sử dụng bộ lọc SG, chỉnh sửa đường cơ sở dữ liệu của bạn bằng cách sử dụng thứ tự đa thức của iModPolyFit và hạn chế phạm vi bước sóng cho đối sánh.
                                  Kết quả sẽ được so sánh với thư viện phổ Raman hoặc FTIR bên trong. 1000 trận đấu mạnh nhất cùng với
                                  dữ liệu được tải lên hoặc đã xử lý sẽ được trình bày trong một bảng và biểu đồ tương tác. Để biết thêm chi tiết, hãy nhấp vào nút bên dưới
                                  hoặc xem video hướng dẫn chi tiết."
Detailed Standard Operating Procedure,Quy trình vận hành tiêu chuẩn chi tiết
Download Open Data,Tải xuống dữ liệu mở
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Phổ tham chiếu được lấy từ các nguồn truy cập mở
           trực tuyến, các ấn phẩm được đánh giá ngang hàng, và các khoản đóng góp của công ty. Trong tương lai
           quang phổ được tải lên công cụ sẽ được kết hợp với tài liệu tham khảo
           thư viện để làm cho nó tốt hơn."
Raman Reference Library,Thư viện tham khảo Raman
FTIR Reference Library,Thư viện tham khảo FTIR
Raman Reference Library Metadata,Siêu dữ liệu thư viện tham khảo Raman
