en,xh
About,Malunga
Welcome,Wamkelekile
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Joyina amakhulu abaphandi abavela ngeenxa zonke
           ihlabathi abayinxalenye yoluntu Open Specy ngu
           ukuhlalutya, ukwabelana, ukusetyenzwa, kunye nokuchonga
           iRaman yabo kunye ne-IR spectra. Ezi nkonzo zisimahla kwaye zivuleleke ngomthombo enkosi kumaqabane ethu:"
Quick Video Tutorial,IsiFundo seVidiyo eKhawulezayo
Instructions,Imiyalelo
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Ngokufutshane: Ukusebenzisa isixhobo layisha i-csv, asp, jdx, spc, okanye ifayile ye-spa kwifayile yokulayisha ithebhu.
                                  Ukuba i-csv, enye ikholamu kufuneka inikwe igama 'inani lamaza' (kwiiyunithi ze-1/cm) kunye nenye ebizwa ngokuba 'nobunzima'.
                                  Ungayigudisa idatha yakho usebenzisa isihluzi se-SG, isiseko silungise idatha yakho usebenzisa i-polynomial order ye-iModPolyFit, kwaye uthintele uluhlu lwamaza omdlalo.
                                  Isiphumo siya kuthelekiswa neRaman yangaphakathi okanye ithala leencwadi lemifanekiso ye-FTIR. Eyona midlalo inamandla ye-1000 kunye neyakho
                                  idatha elayishiweyo okanye esetyenzisiweyo iya kuboniswa kwisakhiwo esisebenzisanayo kunye netafile. Ngeenkcukacha ezithe vetshe cofa iqhosha elingezantsi
                                  okanye ubukele ividiyo eneenkcukacha zomyalelo."
Detailed Standard Operating Procedure,Inkqubo yokuSebenza eNxibelelekileyo
Download Open Data,Khuphela iDatha evuliwe
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","I-spectra yereferensi yafunyanwa kwimithombo yofikelelo oluvulelekileyo
           kwi-intanethi, iimpapasho eziphononongwe ngoontanga, kunye neminikelo yenkampani. Kwilixa elizayo
           i-spectra efakwe kwisixhobo iya kufakwa kwireferensi
           ilayibrari ukwenza kube ngcono."
Raman Reference Library,Ithala leencwadi eliyiRaman
FTIR Reference Library,Ithala leencwadi le-FTIR
Raman Reference Library Metadata,I-Metadata yeThala leeNcwadi eliLawulayo laseRaman
FTIR Reference Library Metadata,I-FTIR yeThala leeNkcukacha zeThala leeNcwadi
Contribute Spectra,Faka iSpectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ukwabelana nge-spectra layisha ifayile kwifayile yokulayisha ithebhu. Ukuba ukhethe Yabelana ngekopi yembonakalo yakho iya kuthunyelwa kuluntu
           Uvimba weDatha kwiSakhelo seNzululwazi eVulekileyo. Ukongeza imethadatha eyongezelelweyo,
           gcwalisa imihlaba yemethadatha ekhoyo kwaye ucofe -Yabelana ngeDatha-. I
           Ifayile ye-spectra oyilayishile kunye neempendulo zakho ziya kukotshwa
           kwi -NgeMetadata- isiqulathi seefayili esisezantsi kwikhonkco elingezantsi. Yonke idatha ekwabelwana ngayo ibambe
           ilayisensi yeCreative Commons Attribution 4.0."
Community Data Warehouse,Indawo yokugcina idatha yoLuntu
Tool Validation,Ukuqinisekiswa kwesixhobo
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Zonke iiparamitha kwesi sixhobo zivavanywa ukuqinisekisa oko
           isixhobo sisebenza ngokugqibeleleyo kangangoko sinakho kwaye sigqibe okona kungagqibekanga
           iiparamitha eziza kusetyenziswa. Inkqubo yethu yangoku yokuqinisekisa ibandakanya ukulungisa
           amangenelo aphindwayo kwiilayibrari zezalathisi, ejonga i-spectra in
           imetadata engekhoyo kwilayibrari yokubonwa, kunye nokuqinisekisa ukungagqibeki
           iparameters zinika ngaphezulu kwe80% ukuchaneka kumdlalo wokuqala."
Detailed Validation Procedure,Inkqubo yoQinisekiso eneenkcukacha
"Updates, Feature Requests, and Bug Reports","Uhlaziyo, iZicelo zoMcimbi, kunye neeNgxelo zeBug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Sigcina umkhondo walo lonke uhlaziyo sisebenzisa ulawulo lwenguqulelo kwikhowudi yethu. Iimpawu zinokucelwa kwaye i-bug ixelwe kwi-GitHub.
Stay up to date!,Hlala usexesheni!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Silandele kuTwitter @OpenSpecy. I-imeyile i-wincowger@gmail.com mayifakwe kuluhlu lokuposa.
Citation,Ucaphulo
Useful Links,Iikhonkco eziluncedo
Free FTIR Software: siMPle microplastic IR spectral identification software,Isoftware ye-FTIR yasimahla: i-siMPle microplastic IR spectral isoftware yokuchonga
Free Spectroscopy Learning Academy from ThermoFisher,ISifundo seSifundo seSpectroscopy sasimahla esivela kwiThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,IsiXhobo sokuFunda seMikroskophu yasimahla kwiYunivesithi yaseFlorida State
