en,yo
About,Nipa
Welcome,Kaabo
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Darapọ mọ awọn ọgọọgọrun awọn oniwadi lati agbegbe
           agbaye ti o jẹ apakan ti agbegbe Open Specy nipasẹ
           itupalẹ, pinpin, processing, ati idamo
           wọn Raman ati IR sipekitira. Awọn iṣẹ wọnyi jẹ ọfẹ ati orisun ṣiṣi ọpẹ si awọn alabaṣiṣẹpọ wa:"
Quick Video Tutorial,Awọn ọna Video Tutorial
Instructions,Awọn ilana
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Ni Soki: Lati lo irinṣẹ gbejade csv, asp, jdx, spc, tabi faili spa si taabu faili ikojọpọ.
                                  Ti csv, iwe kan yẹ ki o jẹ orukọ 'nọmba igbi' (ni awọn ẹya ti 1/cm) ati pe miiran ti a npè ni 'kikankan'.
                                  O le dan data rẹ jẹ nipa lilo àlẹmọ SG kan, ipilẹ ipilẹ ṣe atunṣe data rẹ nipa lilo aṣẹ pupọ ti iModPolyFit, ati ni ihamọ iwọn gigun fun ibaamu naa.
                                  Abajade yoo jẹ akawe si Raman inu tabi ile-ikawe spectra FTIR. Lágbára 1000 ibaamu pẹlú pẹlu rẹ
                                  ti a gbejade tabi data ti a ṣe ilana yoo gbekalẹ ni igbero ibaraenisepo ati tabili. Fun alaye diẹ sii tẹ bọtini ni isalẹ
                                  tabi wo fidio itọnisọna alaye."
Detailed Standard Operating Procedure,Ilana Iṣiṣẹ Standard alaye
Download Open Data,Gba Ṣii Data
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Itọkasi sipekitira jẹ orisun lati awọn orisun wiwọle ṣiṣi
           lori ayelujara, awọn atẹjade ti a ṣe atunyẹwo ẹlẹgbẹ, ati awọn ẹbun ile-iṣẹ. Ni ojo iwaju
           spectra ti o ti gbe si awọn ọpa yoo wa ni dapọ si awọn itọkasi
           ìkàwé lati ṣe awọn ti o paapa dara."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Tiwon Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Lati pin spectra gbejade faili kan si taabu faili ikojọpọ. Ti o ba yan Pin ẹda kan ti iwoye rẹ yoo ranṣẹ si Agbegbe
           Ile-ipamọ Data lori Ṣii Imọ-iṣe Imọ-jinlẹ. Lati fi afikun metadata kun,
           fọwọsi awọn aaye metadata ti o wa ki o tẹ -Share Data-. Awọn
           spectra faili ti o kojọpọ pẹlu awọn idahun rẹ yoo jẹ daakọ
           si a -Pẹlu Metadata- folda ninu ọna asopọ ni isalẹ. Gbogbo data ti o pin ni idaduro
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Community Data ile ise
Tool Validation,Ifọwọsi Irinṣẹ
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Gbogbo awọn paramita inu ọpa yii ni idanwo lati fọwọsi iyẹn
           ọpa naa n ṣiṣẹ bi o ti ṣee ṣe ki o pinnu aiyipada ti o dara julọ
           paramita lati lo. Ilana afọwọsi lọwọlọwọ wa pẹlu atunṣe
           awọn titẹ sii pidánpidán ninu awọn ile-ikawe itọkasi, ṣiṣe ayẹwo fun spectra in
           metadata ti ko si ni ile-ikawe iwoye, ati idaniloju aiyipada
           paramita pese lori 80% išedede ni akọkọ baramu."
Detailed Validation Procedure,Ilana Ifọwọsi alaye
"Updates, Feature Requests, and Bug Reports","Awọn imudojuiwọn, Awọn ibeere Ẹya, ati Awọn ijabọ Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,A tọju gbogbo awọn imudojuiwọn nipa lilo iṣakoso ẹya lori koodu wa. Awọn ẹya le beere ati ijabọ kokoro lori GitHub.
Stay up to date!,Duro titi di oni!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Tẹle wa lori Twitter @OpenSpecy. Imeeli wincowger@gmail.com lati ṣafikun si atokọ ifiweranṣẹ.
Citation,Itọkasi
Useful Links,Wulo Links
Free FTIR Software: siMPle microplastic IR spectral identification software,Sọfitiwia FTIR Ọfẹ: sọfitiwia idanimọ iwoye microplastic IR siMPle
Free Spectroscopy Learning Academy from ThermoFisher,Ile ẹkọ ẹkọ Spectroscopy ọfẹ lati ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Orisun Ẹkọ Maikirosikopi Ọfẹ lati Ile-ẹkọ giga ti Ipinle Florida
Free desktop application for spectral analysis and links to reference databases.,Ohun elo tabili ọfẹ fun itupalẹ iwoye ati awọn ọna asopọ si awọn apoti isura infomesonu.
Terms And Conditions,Awọn ofin Ati Awọn ipo
Privacy Policy,Asiri Afihan
Upload File,Gbe faili
"Upload, View, and Share Spectra","Ṣe igbasilẹ, Wo, ati Pin Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Yan .csv (ayanfẹ), .asp, .jdx, .spc, .spa, tabi .0 Faili"
Share Your Data?,Pin Data Rẹ bi?
Share Help,Pin Iranlọwọ
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ti o ba fẹ, a pin awọn iwoye ti o ti gbejade ati awọn eto pẹlu agbegbe spectroscopy.
           Nipa aiyipada, gbogbo data yoo ni iwe-aṣẹ labẹ Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Awọn iwoye ti a kojọpọ yoo han nibi: https://osf.io/rjg3c"
Upload Help,Po si Iranlọwọ
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Ṣe igbasilẹ awọn faili Raman tabi FTIR bi csv, jdx, spc, tabi spa. Faili csv kan ni o fẹ. Ti csv ba kan, faili naa gbọdọ ni iwe kan ti a samisi 'igbi' ni awọn iwọn ti (1/cm) ati iwe miiran ti a samisi 'kikankikan' ni awọn ẹya gbigba.
            Ti o ba jẹ jdx, spc, spa, tabi 0 faili naa yẹ ki o jẹ spekitimu imudani kan pẹlu nọmba igbi ni (1/cm). Awọn faili wọnyi kii yoo ṣiṣẹ ni pipe nigbagbogbo nitori pe wọn jẹ ẹtan lati ka nitorina ṣayẹwo wọn lẹẹmeji ninu sọfitiwia miiran.
            Lu bọtini 'Data Idanwo' lati ṣe igbasilẹ apẹẹrẹ Raman spectrum kan."
Intensity Adjustment,Atunse kikankikan
None,Ko si
Transmittance,Gbigbe
Reflectance,Ifojusi
Intensity Correction Help,Iranlọwọ kikankikan Atunse
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ti o ba ti gbejade julọ.Oniranran ni ko si ni absorbance sipo,
           lo yi input to a pato awọn sipo lati se iyipada lati.Open Specy le
           satunṣe irisi tabi transmittance sipekitira to Absorbance sipo lilo
           yi ju silẹ ni awọn ikojọpọ faili taabu. Gbogbo awọn taabu ti tẹlẹ
           ro pe awọn data jẹ ni absorbance sipo ki o yẹ ki o ṣe awọn
           atunse ṣaaju ki o to tẹsiwaju ti o ba nilo. Atunṣe gbigbe
           nlo iṣiro log10 (1/T) eyiti ko ṣe deede fun eto
           ati patiku abuda. Atunṣe irisi nlo awọn
           Kubelka-Munk idogba (1-R) 2/ (2 * R). A ro wipe irisi
           ti ṣe ọna kika bi ogorun kan lati 1-100 ati ni akọkọ ṣe atunṣe kikankikan nipasẹ pipin nipasẹ 100
           ki o baamu fọọmu ti a reti nipasẹ idogba.
           Ti ko ba si ọkan ti o yan, Open Specy dawọle pe data ti o gbejade jẹ
           ohun absorbance julọ.Oniranran."
Sample File,Apeere Faili
Sample Data Help,Apeere Data Iranlọwọ
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Eyi jẹ iwoye apẹẹrẹ ti o le gbejade si ọpa fun idanwo rẹ ati oye bii awọn faili csv ṣe yẹ ki o ṣe akoonu.
Metadata Input,Iṣawọle Metadata
Metadata Help,Iranlọwọ Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","A pin eyikeyi awọn iwoye ti o gbejade ati metadata pẹlu agbegbe spectroscopy ti o ba fọwọsi metadata nibi ki o yan pin.
           Sipekitira ti a kojọpọ ati metadata yoo han nibi: https://osf.io/rjg3c"
Share Metadata,Pin Metadata
Upload some data to get started...,Ṣe agbejade data diẹ lati bẹrẹ...
Preprocess Spectrum,Preprocess julọ.Oniranran
"Smooth, Baseline Correct, and Download Processed Spectra","Dan, Atunse Ipilẹ, ati Ṣe igbasilẹ Spectra Ṣiṣẹda"
Download (recommended),Ṣe igbasilẹ (a ṣeduro)
Download Help,Download Iranlọwọ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Diẹ ninu awọn olumulo le fẹ lati fi ẹda kan ti a ṣe ilana spekitiriumu wọn pamọ. Bọtini yii ṣe igbasilẹ spectrum ti a ṣe ilana bi faili csv kan.
Smoothing,Didun
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Irọrun yii le jẹki ifihan agbara si ipin ariwo ti data naa ati lo àlẹmọ Savitzky-Golay kan pẹlu awọn aaye data ṣiṣiṣẹ 12 ati iyasọtọ pupọ.
Smoothing Polynomial,Didun Polynomial
Baseline Correction,Atunse ipilẹ
Baseline Correction Help,Iranlọwọ Atunse Ipilẹ
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ilana atunṣe ipilẹ yii ni awọn aṣayan meji fun atunṣe ipilẹ, 1) ilana imodpolyfit pupọ lati wa ipilẹ ti spekitiriumu nipa lilo ilopọ pupọ si gbogbo agbegbe ti iwoye. 2) Awọn laini afọwọṣe le fa ni lilo ọpa laini lori idite ati bọtini ti o pe yoo lo awọn ila lati yọkuro ipilẹ."
Baseline Correction Polynomial,Ipilẹ Atunse Polynomial
Technique,Ilana
Polynomial,Onipọpọ
Manual,Afowoyi
Correct With Trace,Atunse Pẹlu Wa kakiri
Reset,Tunto
Range Selection,Aṣayan ibiti o wa
Spectral Range Help,Spectral Range Help
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Idinamọ sakani iwoye le yọkuro awọn agbegbe ti spekitiriumu nibiti ko si awọn oke giga wa ati ilọsiwaju ibaramu
Maximum Spectral Range,O pọju Spectral Ibiti
Minimum Spectral Range,Kere Spectral Ibiti
Identify Spectrum,Ṣe idanimọ Spectrum
Identify Spectrum Using the Reference Library,Ṣe idanimọ Spectrum Lilo Ile-ikawe Itọkasi
Raman,Ramani
FTIR,FTIR
Spectra,Spectra
Type,Iru
Spectrum Type Help,Spectrum Iru Iranlọwọ
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Aṣayan yii yoo pinnu boya FTIR tabi ile-ikawe ti o baamu Raman ti lo. Yan iru spekitiriumu ti o ti gbejade.
Analysis,Onínọmbà
Processed,Ti ṣe ilana
Uploaded,Ti kojọpọ
Spectrum to Analyze Help,Spectrum lati itupalẹ Iranlọwọ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Aṣayan yii yoo pinnu boya awọn ti o gbejade (kii ṣe ilana) spekitiriumu tabi spekitiriumu ti a ṣe ilana nipa lilo taabu sisẹ ni a lo ninu ibaramu spekitiriumu.
Region,Agbegbe
Full,Kun
Peaks,Awọn oke giga
Region to Match Help,Ekun lati baramu Iranlọwọ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Aṣayan yii yoo pinnu boya ile-ikawe ti o baamu pẹlu ni kikun julọ.Oniranran tabi awọn oke julọ.Oniranran nikan.
