en,zh-CN
About,关于
Welcome,欢迎
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","加入来自各地的数百名研究人员
           属于 Open Specy 社区一部分的世界
           分析、共享、处理和识别
           他们的拉曼和红外光谱。由于我们的合作伙伴，这些服务是免费和开源的："
Quick Video Tutorial,快速视频教程
Instructions,指示
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","简而言之：要使用该工具将 csv、asp、jdx、spc 或 spa 文件上传到上传文件选项卡。
                                  如果是 csv，一列应命名为“wavenumber”（以 1/cm 为单位），另一列应命名为“intensity”。
                                  您可以使用 SG 滤波器平滑数据，使用 iModPolyFit 的多项式阶数对数据进行基线校正，并限制匹配的波长范围。
                                  结果将与内部拉曼或 FTIR 光谱库进行比较。最强的 1000 场比赛与您一起
                                  上传或处理的数据将显示在交互式图表和表格中。欲知更多详情，请点击下方按钮
                                  或观看详细的教学视频。"
Detailed Standard Operating Procedure,详细的标准操作程序
Download Open Data,下载开放数据
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","参考光谱来源于开放获取资源
           在线、同行评审的出版物和企业捐赠。将来
           上传到工具的光谱将被纳入参考
           库以使其更好。"
Raman Reference Library,拉曼参考图书馆
FTIR Reference Library,FTIR 参考库
Raman Reference Library Metadata,拉曼参考图书馆元数据
FTIR Reference Library Metadata,FTIR 参考库元数据
Contribute Spectra,贡献光谱
