en,zh-TW
About,關於
Welcome,歡迎
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","加入來自各地的數百名研究人員
           屬於 Open Specy 社區一部分的世界
           分析、共享、處理和識別
           他們的拉曼和紅外光譜。由於我們的合作夥伴，這些服務是免費和開源的："
Quick Video Tutorial,快速視頻教程
Instructions,指示
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","簡而言之：要使用該工具將 csv、asp、jdx、spc 或 spa 文件上傳到上傳文件選項卡。
                                  如果是 csv，一列應命名為“wavenumber”（以 1/cm 為單位），另一列應命名為“intensity”。
                                  您可以使用 SG 濾波器平滑數據，使用 iModPolyFit 的多項式階數對數據進行基線校正，並限制匹配的波長范圍。
                                  結果將與內部拉曼或 FTIR 光譜庫進行比較。最強的 1000 場比賽與您一起
                                  上傳或處理的數據將顯示在交互式圖表和表格中。欲知更多詳情，請點擊下方按鈕
                                  或觀看詳細的教學視頻。"
Detailed Standard Operating Procedure,詳細的標準操作程序
Download Open Data,下載開放數據
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","參考光譜來源於開放獲取資源
           在線、同行評審的出版物和企業捐贈。將來
           上傳到工具的光譜將被納入參考
           庫以使其更好。"
Raman Reference Library,拉曼參考圖書館
FTIR Reference Library,FTIR 參考庫
Raman Reference Library Metadata,拉曼參考圖書館元數據
FTIR Reference Library Metadata,FTIR 參考庫元數據
Contribute Spectra,貢獻光譜
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","要共享光譜，請將文件上傳到上傳文件選項卡。如果您選擇共享，您的光譜副本將發送到社區
           開放科學框架上的數據倉庫。要添加其他元數據，
           填寫可用的元數據字段，然後單擊 -Share Data-。這
           您與回復一起上傳的光譜文件將被複製
           到以下鏈接中的 -With Metadata- 子文件夾。所有共享數據保留
           知識共享署名許可 4.0。"
Community Data Warehouse,社區數據倉庫
Tool Validation,工具驗證
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","此工具中的所有參數都經過測試以驗證
           該工具盡可能地運行並確定最佳默認值
           要使用的參數。我們當前的驗證程序包括更正
           參考庫中的重複條目，檢查光譜
           不在光譜庫中的元數據，並確保默認
           參數在第一場比賽中提供超過 80% 的準確率。"
Detailed Validation Procedure,詳細的驗證程序
"Updates, Feature Requests, and Bug Reports",更新、功能請求和錯誤報告
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,我們使用代碼的版本控制來跟踪所有更新。可以在 GitHub 上請求功能和報告錯誤。
Stay up to date!,保持最新狀態！
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,在 Twitter 上關注我們@OpenSpecy。要添加到郵件列表中的電子郵件 wincowger@gmail.com。
Citation,引文
Useful Links,有用的鏈接
Free FTIR Software: siMPle microplastic IR spectral identification software,免費 FTIR 軟件：simple microplastic IR 光譜識別軟件
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher 免費光譜學習學院
Free Optical Microscopy Learning Resource from Florida State University,佛羅里達州立大學的免費光學顯微鏡學習資源
Free desktop application for spectral analysis and links to reference databases.,用於光譜分析和參考數據庫鏈接的免費桌面應用程序。
Terms And Conditions,條款和條件
Privacy Policy,隱私政策
Upload File,上傳文件
"Upload, View, and Share Spectra",上傳、查看和共享光譜
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",選擇 .csv（首選）、.asp、.jdx、.spc、.spa 或 .0 文件
Share Your Data?,共享您的數據？
Share Help,分享幫助
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","如果您願意，我們會與光譜社區分享您上傳的光譜和設置。
           默認情況下，所有數據都將根據知識共享署名-非商業性使用 4.0 國際 (CC BY-NC 4.0) 進行許可。
           上傳的光譜將出現在這裡：https://osf.io/rjg3c"
Upload Help,上傳幫助
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","將拉曼或 FTIR 光譜文件上傳為 csv、jdx、spc 或 spa。首選 csv 文件。如果是 csv，則該文件必須包含以 (1/cm) 為單位標記為“波數”的列和以吸光度單位標記為“強度”的另一列。
            如果 jdx、spc、spa 或 0，文件應該是波數為 (1/cm) 的單個吸收光譜。這些文件並不總是能完美運行，因為它們很難閱讀，因此請在另一個軟件中仔細檢查它們。
            點擊“測試數據”按鈕下載樣品拉曼光譜。"
Intensity Adjustment,強度調整
None,沒有任何
Transmittance,透光率
Reflectance,反射率
Intensity Correction Help,強度校正幫助
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","如果上傳的光譜不是吸光度單位，
           使用此輸入指定要轉換的單位。Open Specy 可以
           使用以下方法將反射或透射光譜調整為吸光度單位
           上傳文件選項卡中的這個下拉菜單。所有前面的選項卡
           假設數據以吸光度單位表示，因此您應該使
           如果需要，在繼續之前更正。透光率調整
           使用對系統不正確的 log10(1/T) 計算
           和顆粒特性。反射率調整使用
           Kubelka-Munk 方程 (1-R)2/(2*R)。我們假設反射率
           格式為 1-100 的百分比，首先通過除以 100 來校正強度
           使其符合方程所期望的形式。
           如果沒有選擇，Open Specy 假定上傳的數據是
           一個吸收光譜。"
Sample File,示例文件
Sample Data Help,示例數據幫助
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,這是一個樣本光譜，可以上傳到該工具以進行測試並了解 csv 文件的格式。
Metadata Input,元數據輸入
Metadata Help,元數據幫助
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","如果您在此處填寫元數據並選擇共享，我們會與光譜社區共享任何上傳的光譜和元數據。
           上傳的光譜和元數據將顯示在此處：https://osf.io/rjg3c"
Share Metadata,共享元數據
Upload some data to get started...,上傳一些數據以開始...
Preprocess Spectrum,預處理譜
"Smooth, Baseline Correct, and Download Processed Spectra",平滑、基線校正和下載處理後的光譜
