en,zu
About,Mayelana
Welcome,Siyakwamukela
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Joyina amakhulu abacwaningi abavela ezindaweni ezizungezile
           umhlaba abayingxenye yomphakathi we-Open Specy ngo
           ukuhlaziya, ukwabelana, ukucubungula, kanye nokukhomba
           i-Raman yabo ne-IR spectra. Lezi zinsizakalo zimahhala futhi zingumthombo ovulekile sibonga ozakwethu:"
Quick Video Tutorial,Okokufundisa kwevidiyo okusheshayo
Instructions,Iziyalezo
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","Kafushane: Ukuze usebenzise ithuluzi layisha ifayela le-csv, asp, jdx, spc, noma le-spa kuthebhu yefayela lokulayisha.
                                  Uma i-csv, ikholomu eyodwa kufanele ibizwe ngokuthi 'inombolo yegagasi' (ngamayunithi angu-1/cm) futhi enye ibizwa ngokuthi 'ukuqina'.
                                  Ungakwazi ukushelelanisa idatha yakho usebenzisa isihlungi se-SG, isisekelo silungise idatha yakho usebenzisa i-polynomial oda ye-iModPolyFit, futhi ukhawulele ububanzi be-wavenge bemeshi.
                                  Umphumela uzoqhathaniswa nomtapo wezincwadi we-Raman wangaphakathi noma we-FTIR. Amameshi angu-1000 aqine kakhulu kanye nawe
                                  idatha elayishiwe noma ecutshunguliwe izokwethulwa ngesakhiwo esisebenzisanayo kanye netafula. Ukuze uthole imininingwane eyengeziwe chofoza inkinobho engezansi
                                  noma bukela ividiyo enemininingwane yokufundisa."
Detailed Standard Operating Procedure,Inqubo Ejwayelekile Yokusebenza enemininingwane
Download Open Data,Landa Idatha Evuliwe
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","I-spectra yesithenjwa ithathwe kuzinsiza ezivulekile zokufinyelela
           ku-inthanethi, okushicilelwe kontanga, neminikelo yezinkampani. Esikhathini esizayo
           i-spectra elayishwe ethuluzini izofakwa kusithenjwa
           umtapo wolwazi ukwenza kube ngcono nakakhulu."
Raman Reference Library,I-Raman Reference Library
