spectrum_identity,material
(+)-pseudoephedrine hcl (lot #359562/1),other material
(01) ldpe,poly(ethylene)
(02) hdpe,poly(ethylene)
(03) pp,poly(propylene)
(04) pp,poly(propylene)
(05) ps,polystyrene
(06) pet,poly(ethylene terephthalate)
(07) pet,poly(ethylene terephthalate)
(08) pla,polylactic acid
(09) pet,poly(ethylene terephthalate)
(10) hdpe,poly(ethylene)
"(1r,2s)-(-)-ephedrine hcl (lot #03130mt)",other material
"(1r,2s)-(-)-n-methylephedrine base (lot  #01822cd)",other material
"(1r,2s)-(-)-n-methylephedrine base (lot #66h3472)",other material
"(1s,2r)-(+)-n-methylephedrine base (lot #15627do)",other material
"(1s,2s)-(+)-pseudoephedrine base (lot #00311cu)",other material
"(1s,2s)-(+)-pseudoephedrine hcl (lot #14509lr)",other material
(insitu 01) pe,poly(ethylene)
(insitu 03) pp,poly(propylene)
(insitu 05) pe,poly(ethylene)
(insitu 07) pe,poly(ethylene)
(insitu 08) pp,poly(propylene)
(insitu 10) pe,poly(ethylene)
(insitu 12) pe,poly(ethylene)
(r)-(-)-phenylephrine hcl (lot #14621ms),other material
(s)(+)-chlorpheniramine maleate (lot #09327au),other material
"(s,r)-noscapine base (lot #13119hs)",other material
*acrylic 4. purple yarn fiber,poly(acrylonitrile)
*acrylic 5. pink fiber,poly(acrylonitrile)
*acrylic 7. white fiber,poly(acrylonitrile)
*acrylic 8. orange fiber,poly(acrylonitrile)
*cotton 7. orange fiber,organic matter
*monohydrocalcite (synthetic),mineral
*montmorillonite heated 1100 c 4hrs,mineral
*paralloid,other plastic
*seed apium nodiflorum,organic matter
0,mineral
06-monoacetylmorphine hcl trihydrate (lot #n17-p100a),other material
1,mineral
1 2 polybutadiene,"poly(1,2-butadiene)"
"1,(5-alpha)-androsten-17-alpha-methyl-17-beta-ol-3-one (lot #b0365)",other material
"1,2,-polybutadiene","poly(1,2-butadiene)"
"1,2-diiodotetrafluorobenzene",other material
"1,3-dimethylamylamine hcl (lot #n1p7)",other material
"1,4-dibenzylpiperazine dihcl     (lot #b00199286)",other material
"1,5-pentanediol",other plastic
"1,6-hexanediamine",other material
1-bromo-3-chloropropane,other material
1-bromobenzene,other material
1-bromobutane,other plastic
1-butanol,other plastic
1-chloro-3-nitrobenzene,other material
1-chlorobutane,other material
1-decanol,other material
1-dehydro epiandrosterone (lot #21-shg-11-1),other material
1-nitropropane,other material
1-octanol,other material
1-pcc (lot #03-19-2001),other material
1-propanol,other material
1-vinyl-2-pyrolidinone,other plastic
10_glucose_monohydrate_analar,other material
11-aminoundecanoic acid,other plastic
11_glucose_anhydrous_merck,other material
12_trehalose_dihydrate_sigma,other material
19-norandrost-4-ene-3beta-ol-17-one (lot #8-aql-127-8),other material
1_2_polybutadiene,"polydienes (butadienes, isoprenes)"
2,mineral
"2,3-dimethyl-2-butene",other material
"2,3-dimethylmethcathinone hcl   (lot #n17-p94d)",other material
"2,3-mdma hcl (lot #n17-p48c)",other material
"2,3-methylenedioxymethcathinone hcl (lot #0433607-19)",other material
"2,3-methylenedioxypyrovalerone hcl (lot #0435485-5)",other material
"2,3-pentylone hcl (lot #0435925-9)",other material
"2,4-dimethylmethcathinone hcl (lot #n17-p92a)",other material
"2,4-dinitrophenol",other material
"2,4-dinitrotoluene",other material
"2,4-toluene-diisocyante",other material
"2,5-dimethoxy-4-chloro-amphetamine hcl (lot #mp193-194)",other material
"2,5-dimethoxyamphetamine hcl (lot #akb29a)",other material
"2,5-dimethoxyphenethylamine hcl (lot #mp137-139)",other material
"2,5-dimethylmethcathinone hcl (lot #n17-p95d)",other material
"2,6-dimethyl-4-heptanone",other material
"2,6-dinitrotoluene",other material
"2-(5-methoxy-1-benzofuran-3-yl)-n,n-dimethylethanamine hcl (lot #n17-p",other material
2-(5-methoxy-1-benzofuran-3-yl)-n-ethylethamine hcl (lot #n17-p38b),other material
2-(dimethylamino)-ethyl methacrylate,other plastic
2-(dimethylamino)ethanethiol hydrochloride,other material
2-acetylbutyrolactone,other material
2-aminoindan hcl (lot #07225da),other material
2-benzylaminopyridine 90-180um,other material
2-bromo-2-methylpropane,other material
2-bromobutane,other material
2-bromopropane,other material
2-bromopropanoic acid,other plastic
2-butanol,other material
2-butanone,other plastic
2-chloro-4-methylpentane,other plastic
"2-chloro-n,n-dimethylethylamine hydrochloride",other material
2-chloroaniline,other material
2-chlorobenaldehyde,other material
2-chlorobutane,other material
2-chloroethcathinone hcl (lot #0523269-1),other material
2-chloroethyl vinyl ether,other plastic
2-ethylethcathinone hcl (lot #0439301-1),other material
2-ethylmethcathinone hcl (lot #0439299-3),other material
2-fluoro deschloroketamine hcl  (lot #0504940-15),other material
2-fluoro-adb (lot #0481551-2),other material
2-fluoroamphetamine hcl (lot #n17-p22b),other material
2-fluoroethcathinone hcl (lot #0434902-9),other material
2-fluoroisocathinone hcl (lot #0450088-3),other material
2-fluoromethamphetamine hcl (lot #n17-p23d),other material
2-furanylbenzyl fentanyl  (lot #n18-p85d),other material
2-furoic acid,other material
2-mapb hcl (lot #rm-140723-01),other material
"2-mercapto-4,6-dimethylpyrimidine hydrate",other material
