material,material_class,material_type
acrylonitrile butadiene styrene (abs),acrylonitrile butadiene styrene (abs),plastic
cellulose acetate,cellulose derivatives (ether cellulose),plastic
cellulose nitrate,cellulose derivatives (ether cellulose),plastic
ethyl cellulose,cellulose derivatives (ether cellulose),plastic
methyl cellulose,cellulose derivatives (ether cellulose),plastic
rayon,cellulose derivatives (ether cellulose),plastic
epdm rubber (ethylene propylene diene monomer rubber),epdm rubber (ethylene propylene diene monomer rubber),plastic
ethylene-propylene,ethylene-propylene,plastic
ethylene-vinyl acetate,ethylene-vinyl acetate,plastic
isobutylene-isoprene,isobutylene-isoprene,plastic
melamine-formaldehyde,melamine-formaldehyde,plastic
mineral,mineral,not plastic
organic matter,organic matter,not plastic
other material,other material,not plastic
other plastic,other plastic,plastic
phenol formaldehyde,phenol formaldehyde,plastic
peek - poly(ether ether ketone),poly(ether)ketones (polyketones),plastic
pek - poly(ether ketone),poly(ether)ketones (polyketones),plastic
pekk - poly(ether ketone ketone),poly(ether)ketones (polyketones),plastic
poly(ethyleneketone),poly(ether)ketones (polyketones),plastic
poly(propyleneketone),poly(ether)ketones (polyketones),plastic
poly(tetrafluoroethylene),poly(tetrafluoroethylene),plastic
poly(acrylamide),polyacrylamides,plastic
poly(n-isopropyl acrylamide),polyacrylamides,plastic
poly(n-octyl acrylamide),polyacrylamides,plastic
poly(n-phenyl acrylamide),polyacrylamides,plastic
poly(n-sec-butyl acrylamide),polyacrylamides,plastic
poly(n-tert-butyl acrylamide),polyacrylamides,plastic
"poly(2,2,3,3-tetrafluoropropyl acrylate)",polyacrylates (propenoates),plastic
poly(2-cyanoethyl acrylate),polyacrylates (propenoates),plastic
poly(2-ethylhexyl acrylate),polyacrylates (propenoates),plastic
poly(4-chlorophenyl acrylate),polyacrylates (propenoates),plastic
poly(acrylic acid),polyacrylates (propenoates),plastic
poly(benzyl acrylate),polyacrylates (propenoates),plastic
poly(butyl acrylate),polyacrylates (propenoates),plastic
